افريقا	非洲
بارخان ولسوالۍ	巴尔汗县
فيفا	国际足球联合会
سوشميتا سېن	苏丝米塔·森
ريشي کپور	里希·卡普尔
۳۹×۷،۶۲ مرمی	7.62×39mm
ږدن	杂谷
حاد مايلوييد ليوکېمي	急性骨髓性白血病
حاد کرونري ساينډروم	急性冠状动脉综合症
د کارلشتین کلا	卡尔什特因城堡
بلنځه	梭梭属
پلسيوسور	蛇頸龍亞目
کاموف کا ٥٠	Ka-50攻擊直升機
گڼ پوهيال	博学家
شري دېوي	詩麗黛瑋·阿雅潘
د سپاه پاسداران انقلاب اسلامی ځواک	伊斯兰革命卫队
آنتونوف-۱۲	安-12
نوشاخ	诺沙克峰
خبري غونډه	記者會
ايليوشين-۹۶	伊留申-96
خټگري	砌体结构
بسم الله الرحمن الرحيم	太斯米
دويمه خور	赖比尔·阿色尼月
کلورامفينيکول	氯霉素
انټر سرويس انټېلېجنس (ISI)	巴基斯坦三軍情報局
کيچ ولسوالۍ	科奇县
چاغي ولسوالۍ	查盖县
اېسټروجن	雌激素
HACCP	危害分析重要管制點
مچواژی	苍蝇拍
غزل	加扎勒
سوابۍ ولسوالۍ	斯瓦比县
مېگانېورا	巨脈蜻蜓
دېره اسماعيل خان ولسوالۍ	德拉伊斯梅尔汗县
د پاکستان د انصاف غورځنگ	巴基斯坦正義運動黨
اېرېسوس موراویکوس	摩拉维亚瓢虫蜘蛛
د ډيورنډ کرښه	杜兰线
يعقوب	雅各 (舊約聖經)
لارا دتا	拉腊·杜塔
سيد جمال الدين افغاني	贾迈勒丁·阿富汗尼
نور محمد ترکی	努尔·穆罕默德·塔拉基
عافيه صديقي	阿菲亚·西迪基
د راديوايزوټوپونو ترموبريښنایی جنريټر	放射性同位素熱電機
آلانين ټرانس امينېز	谷丙转氨酶
ايبټ اباد ولسوالۍ	阿伯塔巴德县
ختيځي مچۍ	東方蜜蜂
ختيځه فلسفه	東方哲學
لور	女兒
ميمنه ولسوالۍ	迈马纳
الشباب	青年党 (索马里)
سردار محمد داود خان	穆罕默德·达乌德汗
ماخۍ	骆驼刺属
عبدالقدير خان	阿卜杜勒·卡迪尔·汗
سلطان قطب الدين ايبک	庫特布丁·艾伊拜克
بيټالکټمېز	Β-内酰胺酶
پلازموډيم فالسيپارم	恶性疟原虫
رودکي	鲁达基
غزی	长脚鹬属
عبدالصبور فريد کوهستاني	阿卜杜勒·萨布尔·法里德
عبدالله عبدالله	阿卜杜拉·阿卜杜拉
جرمېن جېکسن	傑曼·傑克森
والېري ولاديميروويچ پولياکوف	瓦列里·波利亚科夫
احمد شاه قاجار	艾哈邁德沙·卡扎爾
مېلبورن پوهنتون	墨尔本大学
داسو میراژ اف‌۱	幻象F1型戰鬥機
آر پي جي-۷	RPG-7
آغا محمد خان قاجار	阿迦·穆罕默德汗
صالح	撒立哈
گڼونکی	會計師
د ۲ کا ۱۲ کوب راکټی سیستم	SA-6导弹
د افغانستان جگړه (۲۰۰۱)	持久自由军事行动
اس-۲۰۰	S-200导弹
قانوني لاسوندونه	法律行為
ويي جوړښت	造词法
تايروکسين	三碘甲腺原氨酸
ادريس	易德立斯
د سولې نړيواله ورځ	国际和平日
د بهرنيو اړيکو او څارگرۍ اداره	国外事务情报处
پادشاهی جومات	巴德夏希清真寺
عبدالرشيد دوستم	阿布都·拉希德·杜斯塔姆
کريم خان زند	卡里姆汗
اپورتونېزم	投機主義
بيت الله محسود	贝图拉·马哈苏德
ابوبکر	阿布·伯克尔
ابو مسلم خراساني	阿布·穆斯林
جيورج ايډېن	乔治·伊登，第一代奥克兰伯爵
کاشي	釉
راجپوت	拉其普特人
صليبي غڼه	十字园蛛
ناوې	新娘
محمد علي شاه قاجار	穆罕默德·阿里·沙
محمد نادر شاه	穆罕默德·纳第尔·沙阿
سلمان ابن عبدالعزیز آل سعود	萨勒曼·本·阿卜杜勒-阿齐兹·阿勒沙特
پټه لرونکی ژگاگ	臭鼬
اردشیر پاپاکان	阿尔达希尔一世
هېماټويوريا	血尿
د سوریانو ټولواکمني	苏尔王朝
جده	吉达
د چين نړيواله راډيو	中国国际广播电台
هندي فلسفه	印度哲学
د ايران هوايي ځواک	伊朗空军
لوييس سلوتين	路易斯·斯洛廷
صبغت الله مجددي	西卜加图拉·穆贾迪迪
آر کیو - ۱۱ ړاوېن	RQ-11渡鴉式無人偵察機
ال-۱۵۹ الکا	L-159 ALCA
ولاديمير الېکساندروويچ کريوچکوف	弗拉基米尔·亚历山德罗维奇·克留奇科夫
لمن لگښت	边际成本
د افغانستان د فوټبال فدراسيون	阿富汗足球協會
کارلوی واری	卡罗维发利
خوست	霍斯特
سوات ولسوالۍ	斯瓦特县
د هخامنشیانو ټولواکمني	阿契美尼德王朝
شکودا سوپرب	斯柯达昊锐
معیاري ژبه	标准语
سايکلوفوسفمايډ	环磷酰胺
ایندومټاسین	吲哚美辛
هېکزامېتيلين ټرايپرآکسيډايامين	六亚甲基三过氧化二胺
اوکټوجن	奥克托今
اوميپرازول	奥美拉唑
بودېسونايد	布地奈德
فېنواکسيمېتيل پېنيسيلين	青霉素V钾
ديجوکسين	地高辛
ډيلټيازيم	地尔硫䓬
مېټوټرکسات	氨甲蝶呤
دوكسيسايكلين	多西环素
جنټامايسين	庆大霉素
ډيډانوسين	地达诺新
لاميووډين	拉米夫定
رانيتيدين	雷尼替丁
وانکومايسين	萬古黴素
الاقصی جومات	阿克萨清真寺
د افغانستان اسلامي امارت	阿富汗伊斯蘭酋長國
مسجد الحرام	禁寺
الخالد شوبله	MBT-2000主战坦克
منبر	敏拜爾
اسلامي بانکوالی	伊斯蘭銀行
سوخوی سو ٣٧	Su-37戰鬥機
کرېشما کپور	卡麗詩瑪·卡浦爾
ملکه رضيه	拉齊婭
رېکها	瑞卡
شرميلا تاگور	莎米拉·泰戈
وحيده رحمان	凡伊芳妲·李曼
ديا مرزا	迪雅·梅莎
آلماني چابکۍ	德國蟑螂
لخدر ابراهيمي	拉赫达尔·卜拉希米
فرېدرېک بارټ	弗雷德里克·巴特
غياث الدين کيخسرو بن کيقباد	凱霍斯魯二世
مظفر الدين شاه قاجار	穆扎法爾丁·沙
د درانيانو ټولواکمني	杜蘭尼王朝
گردېز	加德兹
ملټيپل ميولوما	多發性骨髓瘤
بوينگ بي ۴۷ سټراټوجېټ	B-47轟炸機
اسکاريس لومبريکويډېس	蛔虫
ابن زهر	伊本·蘇爾
لومړۍ خور	赖比尔·敖外鲁月
لښکرگاه	拉什卡尔加
تالقان	塔卢坎
دوشکا (د الوتکو ويشتونکي ماشيندار)	DShK重機槍
شريعت	伊斯蘭教法
اوزبکان	乌孜别克族
ازمېښتون	实验室
جيروسكوپ	陀螺儀
تاجکيان	塔吉克族
سني اسلام	遜尼派
آزربايجاني منات	阿塞拜疆马纳特
بې پيلوټه الوتکه	無人航空載具
محمد اقبال	穆罕默德·伊克巴勒
فقه	伊斯蘭教法學
چنگېز ايتمانوف	钦吉斯·艾特玛托夫
مۍ	绿豆
د باميانو بودايي پژۍ	巴米揚大佛
تورکمنان	土庫曼族
نړیوال سازمان	国际组织
د ژبې فلسفه	语言哲学
شانگهای د همکاريو سازمان	上海合作组织
کلبيان	犬儒學派
د آزادۍ راډيو	自由欧洲电台／自由电台
اورنگزیب عالمگیر	奥朗则布
راني موکېرجي	拉妮·穆科吉
مسجد نبوي	先知寺
اسلاموفوبيا	伊斯兰恐惧症
ازبکستاني سوم	烏茲別克索姆
صفره	色法尔月
بولندوی	中校
د افغانستان ولسوالۍ	县 (阿富汗)
مېټامتريال	超材料
الوتکه (فلم)	空前绝后满天飞
د شاه فیصل جومات	費薩爾清真寺
د اوبو ښاپېرک	水鼠耳蝠
نېفروټېک ساينډروم	腎病症候群
انځور خبريالي	攝影記者
د افغانستان د لارښودانو لړليک	阿富汗君主列表
سنتره	瓯柑
تومانچه مادل ۵۲	CZ-52手槍
د الماني ژبې گرامر	德语语法
ټريپانوسوما	锥虫
ماشین گڼ ماډل ۵۹	Vz. 59通用機槍
پېښور ولسوالۍ	白沙瓦县
څاڅکي	眼藥水
محمد شاه قاجار	穆罕默德沙·卡扎爾
ميرويس هوتک	米爾維斯·霍塔克
محمد عالم خان	穆罕默德·阿里木
شاه اشرف هوتک	阿什拉夫·漢達基
ډانگ لکۍ	寿带鸟
پروټينيوريا	蛋白尿
رضوي خراسان ولايت	礼萨呼罗珊省
بفر سټېټ	緩衝國
تومانچه مادل ٧٥	CZ-75手槍
سکن ایگل	扫描鹰无人机
جعفر اباد ولسوالۍ	贾法拉巴德县
څارنوال	檢察官
ټرانس امينېشن	转氨基作用
د پاني پت لومړۍ جگړه	第一次帕尼帕特战役
بوکان	布坎
آنتونوف-۱۴۸	安-148
کلات ولسوالۍ (بلوچستان)	喀拉特县
ابهيدا	阿毘曇
امير ډنډ	班達米爾國家公園
ټوپولف ټو-۳۳۴	圖-334
ډئيزم	自然神论
دگماتېزم	教條
گلسر	金额丝雀
اوبدرملنه	水療
برېښنامېچ	電度錶
ښځه په اسلام کې	婦女與伊斯蘭教
ملي گټې	国家利益
د هوتکيانو ټولواکمني	漢達基王朝
جان گرين	約翰·葛林
د تودوخې د لېږد وړتیا	传热系数
اسلامي تاريخ	伊斯兰教历史
آريانا افغان هوايي شرکت	阿里亚纳阿富汗航空
شهاب ۳	流星3型飛彈
اسحاق	以撒
بانکي گڼون	銀行帳戶
د کوچني اختر مياشت	閃瓦魯月
اسد آباد	阿萨达巴德 (阿富汗)
زو – ۲۳ – ۲	ZU-23-2雙管高射炮
ټاټرا ۸۱۵	太拖拉 815
اېف ۱ لاسي بم	蘇聯F-1手榴彈
ارسلا رحماني	阿尔萨拉·拉赫马尼
د اسيايي هېوادونو لړليک	亚洲国家和地区列表
اجاره	贌
درملپېژندنه	药效学
ريگويدا	梨俱吠陀
کوهستان ولسوالۍ (پښتونخوا)	科伊斯坦县
طيبه لښکر	虔誠軍
د غشی زهر آبي چونگښه	天蓝丛蛙
جي اېف ۱۷ تهنډر	梟龍戰機
حامد کرزی نړيوال هوايي ډگر	喀布尔国际机场
وزلوبه	布玆卡兹
آية الکرسي	寶座經文
تپندۍ	灰匙
معمولي وامبټ	塔斯馬尼亞袋熊
تور-ام۱	SA-15导弹
بوټځمکپوهنه	植物地理学
امام حسين جومات	伊玛目侯赛因圣陵
لېیوروس قوینقوېستریاتوس	以色列金蠍
ملتون	公司
اسلامي ساينس	中世紀伊斯蘭世界的科學
ظهير الدين محمد بابر	巴卑尔
پاکستان مسلم لیگ ن	巴基斯坦穆斯林联盟（谢里夫派）
درېيځ (مېچپوهنه)	立方體
آتريال فېبرېلېشن	心房顫動
چاپېريال ساتنه	环境保护
ماشيندار مادل ٦١	Vz.61蠍式衝鋒槍
جنت	天堂 (伊斯蘭教)
فيزيکي کتنه	体格检查
يهودي فلسفه	猶太教哲學
اومان	麻黃屬
امام علي آرام ځاي	伊玛目阿里清真寺
لوېديځه فلسفه	西方哲学
لويه جرگه	支尔格大会
اسلامي زده کړې	伊斯蘭研究
2G	2G
آئیسو 639-3	ISO 639-3
ټوپک مادل ٥٨	Vz.58突擊步槍
کومييز سرطان	喉癌
پېرودونکی	顧客
د استخباراتو امنيتي اداره	安全情报服务
عيسوي فلسفه	基督教哲学
دوه څنډی	二角形
زوم	新郎
د ناروغيو لړليک	疾病列表
يوناني درمل	草藥醫學
د مهدي پوځ	迈赫迪军
ليکتوکي	文具
د اکولا اوبتل	971型核潜艇
د بازار جوړښت	市场形式
چترال ولسوالۍ	奇特拉尔县
ډانا مادل ۷۷ لیري ویشتونکي توپ	152mm SpGH 自走加農砲
دارالامان ماڼۍ	达鲁尔·阿曼宫
توردلی	石䳭屬
د رېږدلې انجنيري	地震工程
ماليکولي ننوونی	分子筛
هندو (ورځپاڼه)	印度教徒報
گجرات	古傑拉特
سجده	蘇朱德
ميدان ښار ولسوالۍ	迈丹城
د سيستان او بلوچستان ولايت	錫斯坦－俾路支斯坦省
اورشلیمی کنيسه	禧年会堂
ايراني هڅوب	伊朗文化
بژېونوف صومعه	布雷诺夫修道院
ستراهوف صومعه	斯特拉霍夫修道院
ډانا ټايرون روهراباکر	达纳·罗拉巴克
د افغانستان د تاريخ پېښليک	阿富汗历史年表
اېکزېما	湿疹
د افغان-انگرېز لومړۍ جگړه	第一次英阿战争
مردان	馬爾丹
لرغونې يوناني فلسفه	古希腊哲学
يشناټکی	沸点
د فارس ولايت	法爾斯省
د نړۍ برحاله هېوادمشران	各国领导人列表
مستونگ ولسوالۍ	马斯吞县
هالي بېري	荷莉·貝瑞
1G	1G
د روسيې دولتي کتابتون	俄罗斯国立图书馆
اندخوی ولسوالۍ	安德胡伊
اسيا پېسفيک	亚太地区
يوڅنډی	一角形
گڼيال رسنۍ	数字媒体
لادا اوبتل	拉达级潜艇
پېښور	白沙瓦
کرک ولسوالۍ	喀拉克县
آر پي جي – ۲۹	RPG-29
څېړنيزه خبريالي	调查报导
جرمنۍ غومبسه	德国黄胡蜂
د افغانستان ولسمشر	阿富汗总统
د مخترعینو لړليک	发明家列表
د افغانستان حکومت	阿富汗政治
خروشتي	佉卢文
جل وهنه	熱病
مشرانو جرگه	长老院 (阿富汗)
اپولینارېزم	亚玻里拿留派
ونډه (وټپوهنه)	股票
لافايټ جنگي بېړۍ	拉法葉級巡防艦
گڼيه	房地產抵押
ناپروکسين	萘普生
شکوڼ	豪豬
ويکيپېډيا:نړيواله غږيزه ابېڅې	Wikipedia:國際音標
تعبیه شوی چاودیدونکی وسیله	簡易爆炸裝置
کوهاټ ولسوالۍ	科哈特县
د پاني پت دريمه جگړه	第三次帕尼帕特战役
د افغان-انگرېز درېمه جگړه	第三次英国-阿富汗战争
کرج ولسوالۍ	卡拉季县
سولگریز جال	计算机网络
د حکومت بڼې	政体
قارون	可拉
اسلامي هڅوب	伊斯兰文化
اسلامي وټه	伊斯兰经济
کابل پوهنتون	喀布尔大学
موسکيټ	P-270蚊子导弹
ویرا غیر فعال څارونکی سیستم	维拉无源跟踪系统
د کاربن ډای اکسایډ ليزر	二氧化碳激光器
د اصفهان ولايت	伊斯法罕省
ويکيپېډيا:وييپانگه	Wikipedia:术语表
وېشنيزه:د امريکا متحده ايالات	Category:美国
وېشنيزه:روسيه	Category:俄罗斯
وېشنيزه:کاناډا	Category:加拿大
وېشنيزه:برطانيه	Category:英国
وېشنيزه:چين	Category:中国
وېشنيزه:هندوستان	Category:印度
وېشنيزه:سعودي عربستان	Category:沙烏地阿拉伯
وېشنيزه:ايران	Category:伊朗
پښتونولي	普什圖瓦里
لامبوځنه ښیښه	浮法玻璃
ابدالي	阿卜达里
د مقدس جورج کلیسا	圣乔治圣殿 (布拉格)
وېشنيزه:افغانستان	Category:阿富汗
وېشنيزه:الجېريا	Category:阿爾及利亞
وېشنيزه:عراق	Category:伊拉克
وېشنيزه:نېدرلانډ/هالېنډ	Category:荷兰
وېشنيزه:نايجېريا	Category:奈及利亞
وېشنيزه:پاکستان	Category:巴基斯坦
وېشنيزه:د روم امپراطوری	Category:罗马帝国
وېشنيزه:مارغان	Category:鸟类
وېشنيزه:بوټي	Category:植物
وېشنيزه:ژونپوهنه	Category:生物学
وېشنيزه:پېښليک	Category:历史
وېشنيزه:ځمکپوهنه	Category:地理
وېشنيزه:ټولنه	Category:社会
وېشنيزه:مذهب	Category:宗教
وېشنيزه:ورزښت	Category:体育
وېشنيزه:اروپايي اتحاديه	Category:欧盟
وېشنيزه:ټوليزې رسنۍ	Category:大眾媒體
وېشنيزه:ځمکه	Category:地球
بر دير ولسوالۍ	上第尔县
رڼايي سپڼسيزې اړيكې	光纖通訊
د الضرار ټانک	阿茲拉主戰坦克
خواږه مرچ	菜椒
گوند مشر	政党领袖
نوښار ولسوالۍ	瑙谢拉县
د پاکستان هوايي ځواک	巴基斯坦空軍
رباب	热瓦甫
سرپل	萨尔普勒
پښتونستان	普什图尼斯坦
اورمکۍ	蛾
کينډۍ:/بکس-پايليک	Template:Box-footer
ابراهيم	易卜拉欣
نړيواله ټولنه	国际社会
ملهم	软膏剂
کاربون نانو نل	碳纳米管
د افغانستان هوايي ځواک	阿富汗空軍
د ۰۵۲ بي جنگي بېړۍ	052B型导弹驱逐舰
کيشکره	星鸦属
د حسن او حسين مياشت	穆哈兰姆月
د ملي دفاع پوهنتون	美国国防大学
د افغانستان وټه	阿富汗经济
وېشنيزه:فلسفه	Category:哲学
وېشنيزه:عيسويت	Category:基督教
وېشنيزه:اسلام	Category:伊斯兰教
وېشنيزه:يهوديت	Category:犹太教
پارت	安息帝國
تاکتيک	战术
لکي مروت ولسوالۍ	拉基玛瓦县
بونير ولسوالۍ	布内尔县
شريا گوشل	舒蕾亞·戈沙爾
گوادر ولسوالۍ	瓜达尔县
گوربت	鵰
د افغانستان ولسي جرگه	人民院 (阿富汗)
تخنيکي خبريالي	技术新闻学
چسکی کروملوف (ماڼۍ)	捷克克鲁姆洛夫城堡
اسلام او عيسويت	伊斯蘭教與基督教
وړانگه	Ray
مولتان ولسوالۍ	木尔坦县
پشين ولسوالۍ	皮辛县
فيصل آباد ولسوالۍ	费萨拉巴德县
حافظ آباد ولسوالۍ	哈费扎巴德县
گوجرانواله ولسوالۍ	古杰兰瓦拉县
بهاولپور ولسوالۍ	巴哈瓦尔布尔县
لوره لايي ولسوالۍ	洛拉莱县
بولان ولسوالۍ	波伦县
ژوب ولسوالۍ	佐布县
اټک ولسوالۍ	阿特克县
بکتر شکن	红箭-8反坦克导弹
زيارت ولسوالۍ	加拉特县
نصير اباد ولسوالۍ	纳希拉巴德县
دېره غازي خان ولسوالۍ	德利加兹汗县
موسی خېل ولسوالۍ (بلوچستان)	穆萨克尔县
چکوال ولسوالۍ	恰夸尔县
بهکر ولسوالۍ	巴卡尔县
لاهور ولسوالۍ	拉合尔县
کوټه ولسوالۍ	奎达县
ډېره بگټي ولسوالۍ	德拉布提县
سيالکوټ ولسوالۍ	锡亚尔科特县
کوهلو ولسوالۍ	寇卢县
خراسان	大呼罗珊
لر دير ولسوالۍ	下第尔县
مانسهره ولسوالۍ	曼瑟拉县
مردان ولسوالۍ	马尔丹县
چارسده ولسوالۍ	恰尔萨达县
هنگو ولسوالۍ	汉古县
شنگله ولسوالۍ	香拉县
ساهيوال ولسوالۍ	萨希瓦尔县
راجنپور ولسوالۍ	拉詹普尔县
ويهاړي ولسوالۍ	维哈里县
ليه ولسوالۍ	莱亚县
نارووال ولسوالۍ	诺罗瓦尔县
منډي بهاوالدين ولسوالۍ	曼迪巴豪丁县
ميانوالي ولسوالۍ	缅瓦利县
تولید (سوداگري)	产品
پنجگور ولسوالۍ	旁吉古尔县
د عراق او شام اسلامي دولت	伊斯兰国
يونس	約拿
وټيز څېړندود	经济学方法
سبي ولسوالۍ	锡比县
د فيلسوفانو لړليک	哲学家列表
لودهران ولسوالۍ	罗德兰县
ننکانه صاحب ولسوالۍ	嫩加纳胡沙布县
چنيوټ ولسوالۍ	吉尼奥德县
شېخپوره ولسوالۍ	谢胡布尔县
قصور ولسوالۍ	卡苏尔县
ویدانتا	吠檀多
د کيميا فلسفه	化学哲学
پښتانه	普什圖人
شرن	沙兰
خوشاب ولسوالۍ	库沙布县
پانډور زره پوښ موټر	潘德2型裝甲車
جهل مگسي ولسوالۍ	贾尔马格希县
رحيميار خان ولسوالۍ	拉希姆亚尔汗县
خضدار ولسوالۍ	胡兹达尔县
مخابرات په افغانستان کې	阿富汗通讯
کندهار ولسوالۍ	坎大哈县
چامبېلي	素馨花
شهرک ولسوالۍ	沙赫拉克区
پراناف مېستري	明泊霖
رسنۍ	平均数
سمبالښت	管理学
وېشنيزه:هڅوب	Category:文化
وېشنيزه:لويې وچې	Category:大洲
وېشنيزه:ځمکپېژنده	Category:地质学
وېشنيزه:الوتکې	Category:航空器
ثريا طرزي	索拉亚·塔齐
بنو ولسوالۍ	本努县
فيض محمد کاتب هزاره	法伊茲·穆罕默德·哈提卜
ايشوبی	锅炉
بټگرام ولسوالۍ	巴塔格兰县
مالاکنډ ولسوالۍ	马拉坎县
تانبه:ځمکپوهنه	Portal:地理学
مماڼه	窄叶雀梅藤
جلغوزه	西藏白皮松
تانبه:فلسفه	Portal:哲学
د کوکا کولا شرکت	可口可乐公司
ويکيپېډيا:غونډال ته څنګه ورننوځو	Help:登录
هريړه	诃子
کيمياوي وسلې	化学武器
وېشنيزه:د پوهنغونډ روباټان	Category:維基百科機器人
وېشنيزه:د افغانستان توکمونه	Category:阿富汗民族
بخت خان	巴克德·汗
څلوريځ	对句
تانبه:هنرونه	Portal:艺术
شاه حسين هوتک	侯賽因·漢達基
کينډۍ:دوراشې کامه	Template:Quote
د وينې رېفرانسي حدود	血液检验项目正常参考值范围
ويکيپېډيا:د نن ورځې انځور	Wikipedia:特色圖片評選
وېشنيزه:هېوادونه	Category:国家
وېشنيزه:وټپوهنه	Category:经济学
ويکيپېډيا:پازوالان	Wikipedia:管理员
ويکيپېډيا:روباټان	Wikipedia:机器人
وېشنيزه:وخت	Category:时间
وېشنيزه:انټرنټ	Category:互联网
وېشنيزه:پیسې	Category:货币
وېشنيزه:بوټپوهنه	Category:植物學
وېشنيزه:اناتومي	Category:解剖学
وېشنيزه:طب	Category:医学
وېشنيزه:سياست	Category:政治
گڼنه	会计学
مصر	埃及
اسلامي نظام	伊斯兰国 (政权形式)
وېشنيزه:فيلسوفان	Category:哲学家
کينډۍ:Bot	Template:Bot
خپگان	情绪抑郁
کاناډا	加拿大
وېشنيزه:هنګري	Category:匈牙利
وېشنيزه:د اروپایي اتحادیې غړي هیوادونه	Category:欧盟成员国
وېشنيزه:چېک جمهوريت	Category:捷克
وېشنيزه:سلواکيا	Category:斯洛伐克
ويکيپېډيا:نيوليک	Wikipedia:分類索引
اکدي واکمنۍ	阿卡德帝国
وېشنيزه:مايکروسافټ	Category:微軟
تانبه:پوهنه	Portal:科學
کينډۍ:Flagicon	Template:Flagicon
وېشنيزه:د اروپا هېوادونه	Category:欧洲国家
وېشنيزه:اروپا	Category:欧洲
تانبه:تازه پېښې	Portal:新聞動態
کينډۍ:لاسوند	Template:Documentation
ويکيپېډيا:د ټولنې تانبه	Wikipedia:社群首页
وېشنيزه:User languages	Category:用户语言
ويکيپېډيا:کارن-نوم	Wikipedia:用户名
عايشه بنت ابي بکر	阿伊莎
سوداگري	企业
تانبه:ټکنالوجي	Portal:技術
کينډۍ:Softredirect	Template:軟重定向
کينډۍ:ړنگول	Template:Delete
ليکبڼه	字型
وېشنيزه:ژبې	Category:语言
ويکيپېډيا:General disclaimer	Wikipedia:免责声明
وېشنيزه:د چېک جمهوريت ښارونه	Category:捷克城市
ماشیندار اېوو - ۳	CZ蠍式EVO 3 A1衝鋒槍
کينډۍ:Navbox	Template:Navbox
ويکيپېډيا:Shortcut	Template:Shortcut
وېشنيزه:د ایران ښارونه	Category:伊朗城市
خيميران	银鲛目
کينډۍ:Citation needed	Template:Fact
تانبه:ژوندليکونه	Portal:人物
کينډۍ:Tnavbar	Template:Navbar
ايمان	信仰
کينډۍ:Clear	Template:Clear
کينډۍ:Col-begin	Template:Col-begin
کينډۍ:Col-end	Template:Col-end
کينډۍ:Anchor	Template:Anchor
کينډۍ:Babel	Template:Babel
کينډۍ:Commons	Template:Commons
کينډۍ:لړسرچينې	Template:Reflist
کينډۍ:AFG	Template:AFG
کينډۍ:نابشپړ	Template:Stub
کينډۍ:User de	Template:User de
کينډۍ:User en-3	Template:User en-3
کينډۍ:User en-1	Template:User en-1
کينډۍ:User en-2	Template:User en-2
کينډۍ:User en	Template:User en
کينډۍ:User fa	Template:User fa
وېشنيزه:افغاني هڅوب	Category:阿富汗文化
کينډۍ:User ja	Template:User ja
کينډۍ:User ja-1	Template:User ja-1
وېشنيزه:امريکايي لرغونپوهان	Category:美国考古学家
کينډۍ:د هېواد مالومات تاجکستان	Template:Country data Tajikistan
وېشنيزه:آسيا	Category:亚洲
کينډۍ:Esoteric	Template:Esoteric
کينډۍ:د هېواد مالومات کویټ	Template:Country data Kuwait
کينډۍ:Mod	Template:Mod
کينډۍ:ISO639-3Documentation	Template:SIL
کينډۍ:د هېواد مالومات بلجيم	Template:Country data Belgium
کينډۍ:د هېواد مالومات سلواکيا	Template:Country data Slovakia
کينډۍ:د هېواد مالومات اېل سلوادور	Template:Country data El Salvador
کينډۍ:د هېواد مالومات پاناما	Template:Country data Panama
کينډۍ:د هېواد مالومات اېکوادور	Template:Country data Ecuador
کينډۍ:د هېواد مالومات اېتوپيا	Template:Country data Ethiopia
کينډۍ:د هېواد مالومات تونېسيا	Template:Country data Tunisia
کينډۍ:د هېواد مالومات د چېک جمهوريت	Template:Country data Czech Republic
کينډۍ:د هېواد مالومات تايلنډ	Template:Country data Thailand
کينډۍ:د هېواد مالومات کيوبا	Template:Country data Cuba
کينډۍ:د هېواد مالومات اندونېزيا	Template:Country data Indonesia
کينډۍ:د هېواد مالومات کمبوډيا	Template:Country data Cambodia
کينډۍ:د هېواد مالومات سېنېگال	Template:Country data Senegal
کينډۍ:د هېواد مالومات ماداګاسکر	Template:Country data Madagascar
کينډۍ:د هېواد مالومات البانيا	Template:Country data Albania
وېشنيزه:درملپوهنه	Category:藥理學
کينډۍ:د هېواد مالومات پېرو	Template:Country data Peru
کينډۍ:د هېواد مالومات پاراګوای	Template:Country data Paraguay
کينډۍ:د هېواد مالومات کېنيا	Template:Country data Kenya
کينډۍ:د هېواد مالومات نيکاراګوا	Template:Country data Nicaragua
کينډۍ:د هېواد مالومات هندوراس	Template:Country data Honduras
کينډۍ:د هېواد مالومات ازبکستان	Template:Country data Uzbekistan
کينډۍ:د هېواد مالومات بولېويا	Template:Country data Bolivia
کينډۍ:د هېواد مالومات د ډومينيکان جمهوريت	Template:Country data Dominican Republic
کينډۍ:د هېواد مالومات توگو	Template:Country data Togo
کينډۍ:د هېواد مالومات ګواتمالا	Template:Country data Guatemala
وېشنيزه:ژبپوهنه	Category:语言学
کينډۍ:د هېواد مالومات هايېتي	Template:Country data Haiti
کينډۍ:د هېواد مالومات مالي	Template:Country data Mali
کينډۍ:د هېواد مالومات مولدووا	Template:Country data Moldova
کينډۍ:د هېواد مالومات لاتويا	Template:Country data Latvia
کينډۍ:د هېواد مالومات مالټا	Template:Country data Malta
کينډۍ:د هېواد مالومات ډېنمارک	Template:Country data Denmark
کينډۍ:د هېواد مالومات آيسلېنډ	Template:Country data Iceland
کينډۍ:د هېواد مالومات پولنډ	Template:Country data Poland
کينډۍ:د هېواد مالومات کېپ وردا	Template:Country data Cape Verde
کينډۍ:Click	Template:Click
کينډۍ:د هېواد مالومات بلغاريه	Template:Country data Bulgaria
کينډۍ:د هېواد مالومات بوسنيا او هېرزگوينا	Template:Country data Bosnia and Herzegovina
کينډۍ:د هېواد مالومات ګايانا	Template:Country data Guyana
کينډۍ:Wikivar	Template:Wikivar
کينډۍ:د هېواد مالومات ناروې	Template:Country data Norway
کينډۍ:د هېواد مالومات سوېلي افريقا	Template:Country data South Africa
کينډۍ:د هېواد مالومات جمايکا	Template:Country data Jamaica
کينډۍ:د هېواد مالومات ګورجستان	Template:Country data Georgia
کينډۍ:د هېواد مالومات ارجنټاين	Template:Country data Argentina
کينډۍ:د هېواد مالومات يوروګوای	Template:Country data Uruguay
کينډۍ:Country showdata	Template:Country showdata
کينډۍ:د هېواد مالومات ټرېنېډاډ او توباګو	Template:Country data Trinidad and Tobago
کينډۍ:د انځور نښه	Template:Image label
کينډۍ:د هېواد مالومات برونای	Template:Country data Brunei
کينډۍ:د هېواد مالومات سريلانکا	Template:Country data Sri Lanka
کينډۍ:د هېواد مالومات مکسيکو	Template:Country data Mexico
کينډۍ:د هېواد مالومات یونان	Template:Country data Greece
کينډۍ:د هېواد مالومات لوکسېمبورگ	Template:Country data Luxembourg
