ਅਫ਼ਰੀਕਾ	非洲
ਪਾਰਵਤੀ	雪山神女
ਹੈਨਰੀ ਜੇਮਜ਼	亨利·詹姆斯
ਅਮਾਸਿਆ	阿馬西亞
ਪੈਰੋਡੀ	戲仿
ਯਜ਼ਦ ਸੂਬਾ	亞茲德省
ਪ੍ਰਾਈਡ ਐਂਡ ਪ੍ਰੈਜੁਡਿਸ	傲慢與偏見
ਕੋਲਾਜ	珂拉琪
ਸਿਰਜਣਸ਼ੀਲਤਾ	創造力
ਸਾਂਤਾ ਕਰੂਸ, ਬੋਲੀਵੀਆ	圣克鲁斯 (玻利维亚)
ਘੁਲਣਸ਼ੀਲਤਾ	溶解性
ਕੀਟੋਨ	酮
ਕਰਾਮਾਤ	奇跡
ਹਿਸਾਬਦਾਨ	数学家
ਆਇਰਿਸ਼ ਲੋਕ	爱尔兰人
ਦੇਨਿਜਲੀ	代尼茲利
ਆਬਲਿਸਕ	方尖碑
ਗਠੀਆ	关节炎
ਨਿੱਜੀ ਤੰਤ੍ਰਿਕਾ ਪ੍ਰਣਾਲੀ	自主神经系统
ਬਾਇਓ ਗੈਸ	生物氣體
ਪ੍ਰਤੱਖ ਲੋਕਰਾਜ	直接民主制
ਫੁਕੂਸ਼ੀਮਾ ਰੀਐਕਟਰ ਲੀਕ	福岛第一核电站事故
ਵਰਜਣ	禁忌
ਨਾਗਾਰਜੁਨ (ਦਾਰਸ਼ਨਿਕ)	龍樹
ਲੰਡਨ ਸਟਾਕ ਐਕਸਚੇਂਜ	伦敦证券交易所
ਸੰਯੋਜਕਤਾ	化合价
ਸਟੈਮਫ਼ੋਰਡ ਬ੍ਰਿਜ (ਸਟੇਡੀਅਮ)	史丹福橋球場
ਸੂਰਜਮੁਖੀ	向日葵
ਮਾਦਰੀਦ ਦਾ ਸ਼ਾਹੀ ਮਹਿਲ	马德里王宫
ਹਾਦਸਾ	意外事故
ਮਾਰਾਕਾਈਬੋ	马拉开波
ਸਤਲੁਜ ਦਰਿਆ	萨特莱杰河
ਮੈਥੀਊ ਪੈਰੀ	馬修·派瑞
ਅਹਿਮਦੀਆ	阿赫迈底亚
ਭੁਬਨੇਸ਼ਵਰ	布巴内什瓦尔
ਆਗਰੇ ਦਾ ਕ਼ਿਲਾ	阿格拉堡
ਹਾਈਡਰੋਜਨ ਪਰਆਕਸਾਈਡ	过氧化氢
ਧਰਮ ਦੀ ਆਜ਼ਾਦੀ	宗教自由
ਨਾਨਛਾਂਙ	南昌市
ਲੁਕਣ ਮੀਚੀ	捉迷藏
ਅਲੈਗਜ਼ੈਂਡਰ ਓਸਤਰੋਵਸਕੀ	亚历山大·尼古拉耶维奇·奥斯特洛夫斯基
ਐਲ (ਸਿਰਿਲਿਕ)	Л
ਕੋਰਲ ਸਾਗਰ ਟਾਪੂ	珊瑚海群岛
ਦ ਸ਼ੌਸ਼ੈਂਕ ਰਿਡੈਂਪਸ਼ਨ	肖申克的救赎
ਪਠਾਨਕੋਟ ਜ਼ਿਲ੍ਹਾ	帕坦科特縣
ਕਪੂਰਥਲਾ ਜ਼ਿਲ੍ਹਾ	卡普塔拉縣
ਫ਼ਿਰੋਜ਼ਪੁਰ ਜ਼ਿਲ੍ਹਾ	费罗兹普尔县
ਮਾਨਸਾ ਜ਼ਿਲ੍ਹਾ	曼薩縣
ਪਟਿਆਲਾ ਜ਼ਿਲ੍ਹਾ	帕提亞拉縣
ਜਿਰੌਂਦੈਂ ਦੇ ਬੋਰਦੋ ਫੁੱਟਬਾਲ ਕਲੱਬ	波尔多足球俱乐部
ਲੁਧਿਆਣਾ ਜ਼ਿਲ੍ਹਾ	盧迪亞納縣
ਫ਼ਤਹਿਗੜ੍ਹ ਸਾਹਿਬ ਜ਼ਿਲ੍ਹਾ	法特加沙希比縣
ਬਠਿੰਡਾ ਜ਼ਿਲ੍ਹਾ	珀丁達縣
ਫ਼ਰੀਦਕੋਟ ਜ਼ਿਲ੍ਹਾ	法利德果德縣
ਸਰਬੀਆਈ ਦਿਨਾਰ	塞爾維亞第納爾
ਬੁਲਗਾਰੀਆਈ ਲੇਵ	保加利亞列弗
ਝਾੜ-ਫੂਕ	驅魔
ਐਲੇਸਟਰ ਕ੍ਰੌਲੀ	阿萊斯特·克勞利
ਥਾਰ ਮਾਰੂਥਲ	塔尔沙漠
ਓ ਹੈਨਰੀ	欧·亨利
ਸਾੜੀ	莎丽
ਬਾਈਸਾਈਕਲ ਥੀਵਜ਼	單車失竊記
ਦਾ ਨੇਮ ਆਫ਼ ਦਾ ਰੋਜ਼	玫瑰之名
ਤੁਰਕੀ ਲੀਰਾ	土耳其里拉
ਕਟਿਹਾਰ	卡蒂哈尔
ਸਾਹ-ਨਾਲ਼ੀ ਦੀ ਸੋਜ	支气管炎
ਗਲਾਸਨੋਸਤ	開放政策
ਬ੍ਰਾਜ਼ੀਲੀ ਰਿਆਲ	巴西雷亚尔
ਖ਼ੁਦਮੁਖ਼ਤਿਆਰਸ਼ਾਹੀ	独裁
ਤਾਮਿਲ ਲੋਕ	泰米尔人
ਮਾਰਵਲ ਕੌਮਿਕਸ	漫威漫畫
ਖਾਣਜੋਗ ਸਮਾਨ ਦੀ ਹਿਫਾਜ਼ਤ	食品保存
ਰੇਖਕੀ ਲੜੀ	等比数列
ਗਜ਼ਨੀ	加兹尼
ਕਜ਼ਾਖ਼ਸਤਾਨੀ ਤੇਂਗੇ	哈萨克斯坦坚戈
ਮਨੋਰੰਜਨ	娛樂
ਕਾਪੀਸਾ	卡比萨省
ਰੇਡੀਅਸ	半径
ਹੇਲਮੰਦ ਸੂਬਾ	赫尔曼德省
ਅਲਫ਼ਰੈਡ ਟੈਨੀਸਨ	丁尼生
ਚੇ (ਸਿਰਿਲਿਕ)	Ч
ਸ਼ਾ (ਸਿਰਿਲਿਕ)	Ш
ਫ਼ੈਸਲਾਬਾਦ	费萨拉巴德
ਯਾਂ ਤਿਰੋਲ	让·梯若尔
ਏਲਾਜਿਗ	埃拉泽
ਐਂਨ (ਸਿਰਿਲਿਕ)	Н
ਛਾਂਙਸ਼ਾ	长沙市
ਪ੍ਰੇਮਚੰਦ	普列姆昌德
ਗ੍ਰੇਟ ਬ੍ਰਿਟੇਨ ਅਤੇ ਆਇਰਲੈਂਡ ਦੀ ਸੰਯੁਕਤ ਬਾਦਸ਼ਾਹੀ	大不列颠及爱尔兰联合王国
ਕਾਰਬਨੀ ਯੋਗ	有机化合物
ਐਫ (ਸਿਰਿਲਿਕ)	Ф
ਅਲਮਾ ਮਾਤਰ	母校
ਰਾਂਚੀ	蘭契
ਤੌਹੀਦ	認主學
ਲੰਡਨ ਸਕੂਲ ਆਫ਼ ਇਕਨਾਮਿਕਸ	倫敦政治經濟學院
ਮੋਬੀ ਡਿੱਕ	白鯨記
ਆਸਟਰੇਲੀਆ ਦਾ ਇਤਿਹਾਸ	澳大利亚历史
ਦੁੱਧ ਚੁੰਘਾਉਣਾ	母乳餵養
ਉਮ ਅਲ-ਕਿਵੇਨ	烏姆蓋萬
ਗੁਰਨੀਕਾ	格尔尼卡 (绘画)
ਵਿਲਾ ਪਾਰਕ	維拉公園球場
ਫਾਟਕ:ਇਤਿਹਾਸ	Portal:历史
ਵਿਟਾਮਿਨ ਡੀ	维生素D
ਲਿਓਨ ਵੱਡਾ ਗਿਰਜਾਘਰ	莱昂主教座堂
ਪੂਰਬੀ ਅਜ਼ਰਬਾਈਜਾਨ ਸੂਬਾ	東亞塞拜疆省
ਥੀਸੈਨ-ਬੋਰਨੇਮੀਸਾ ਅਜਾਇਬਘਰ	提森-博内米萨博物馆
2010 ਫੀਫਾ ਵਿਸ਼ਵ ਕੱਪ	2010年世界盃足球賽
ਉੱਪ-ਪਰਮਾਣੂ ਕਣ	次原子粒子
ਵਿਕਾਸਸ਼ੀਲ ਦੇਸ਼	发展中国家
ਮਨੁੱਖੀ ਪਰਵਾਸ	人口遷徙
ਭਾਈਚਾਰਾ	群体
ਰੋਗ-ਪਛਾਣ	诊断
ਲੋਰੈਂਸੋ ਦੇ ਮੇਦੀਚੀ	洛伦佐·德·美第奇
ਤੀਹਰਾ ਸਮਝੌਤਾ	三國協約
ਮਕਦੂਨੀਆਈ ਦਿਨਾਰ	馬其頓代納爾
ਥਾਈ ਬਾਤ	泰銖
ਯੋਗਤਾਰਾਜ	精英政治
ਵਿਨ ਡੀਜ਼ਲ	馮·迪索
ਓ (ਸਿਰਿਲਿਕ)	О
ਸਪੇਨੀ ਫਲੂ	1918年流感大流行
ਰਾਸ਼ਟਰਮੰਡਲ ਖੇਡਾਂ	英聯邦運動會
ਮੁਹੰਮਦ ਫ਼ਜ਼ੂਲੀ	富祖里
ਦਰੀ ਫ਼ਾਰਸੀ	達利語
ਨੰਗਰਹਾਰ ਸੂਬਾ	楠格哈尔省
ਬਾਖ਼ਾ ਕੈਲੀਫ਼ੋਰਨੀਆ ਪਰਾਇਦੀਪ	下加利福尼亞半島
ਜੂਰਾ ਪਹਾੜ	侏罗山
ਮੁੱਲਾਂ ਨਸਰੁੱਦੀਨ	纳斯尔丁
ਮਿੱਤਾਨੀ ਸਾਮਰਾਜ	米坦尼
ਡਬਲਿਊ ਐਚ ਆਡੇਨ	威斯坦·休·奥登
ਅਦਵੈਤਵਾਦ	一元论
ਕੌਮਾਂਤਰੀ ਵਪਾਰ	国际贸易
ਸੀਰੀਆਈ ਖ਼ਾਨਾਜੰਗੀ	叙利亚内战
ਰੁਪਿਆ	盧比
ਸੌ ਸਾਲ ਦਾ ਇਕਲਾਪਾ	百年孤独
ਦੇਵਤਾ	神
ਖਜੁਰਾਹੋ	克久拉霍
ਆਸਟਰੇਲੀਆਈ ਅੰਟਾਰਕਟਿਕ ਰਾਜਖੇਤਰ	澳大利亞南極領地
ਦ ਐਲਕਮਿਸਟ (ਨਾਵਲ)	炼金术士 (小说)
ਫ਼ਰਾਂਸੀਸੀ ਬਸਤੀਵਾਦੀ ਸਾਮਰਾਜ	法蘭西殖民帝國
ਲੀਸਾ ਕੂਡਰੋ	丽莎·库卓
ਫ਼ਤਿਹਪੁਰ ਸੀਕਰੀ	法泰赫普尔西克里
ਰੋਲਾਂ ਬਾਰਥ	罗兰·巴特
ਜੌਨ ਰਸਕਿਨ	约翰·拉斯金
ਰੂਸੀ ਸਾਹਿਤ	俄国文学
ਇਕਾਤਮਕ ਦੇਸ਼	单一制
ਬਣਤਰਵਾਦ	結構主義
ਗੂਗਨਹਾਈਮ ਅਜਾਇਬ-ਘਰ ਬੀਲਬਾਓ	毕尔巴鄂古根海姆美术馆
ਮਸਦਰ (ਵਿਆਕਰਨ)	不定詞
ਜਿੱਦੂ ਕ੍ਰਿਸ਼ਨਾਮੂਰਤੀ	吉杜·克里希那穆提
ਜਿਓਵਾਨੀ ਪਾਲਿਸਤਰੀਨਾ	乔瓦尼·皮耶路易吉·达·帕莱斯特里纳
ਕਾਰਨਤਾ	因果关系
ਧੱਕੇਸ਼ਾਹੀ	专制主义
ਰਾਬਰਟ ਓਵਨ	罗伯特·欧文
ਚਾਰਲਸ ਐਲਬਰਟ ਗੋਬਾਟ	夏尔莱·阿尔贝特·戈巴特
ਔਲੀਵਰ ਸਟੋਨ	奧利華·史東
ਅਲੈਗਜ਼ਾਂਦਰਾ ਕੋਲੋਨਤਾਈ	亚历山德拉·米哈伊洛芙娜·柯伦泰
ਅਟਾਹੁਆਲਪਾ	阿塔瓦爾帕
ਤਾਰਿਆਂ ਦੀ ਸ਼੍ਰੇਣੀਆਂ	恒星光谱
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ ਵਟਾਂਦਰਾਯੋਗ ਮਾਰਕ	波斯尼亚和黑塞哥维那可兑换马克
ਐਮ (ਸਿਰਿਲਿਕ)	М
ਇਲਾਜ	疗法
ਕੌਮੀ ਰਾਜ	民族國家
ਮਿੱਠਾ ਸੋਡਾ	碳酸氢钠
ਥੀਸਾਰਸ ਕੋਸ਼	索引典
ਰਾਜਨੀਤਕ ਦਰਸ਼ਨ	政治哲学
ਤਿੱਬਤੀ ਪਠਾਰ	青藏高原
ਅਫ਼ਰੀਕਾ ਲਈ ਧੱਕਾ-ਮੁੱਕੀ	瓜分非洲
ਟਸੇ (ਸਿਰਿਲਿਕ)	Ц
ਖਾ (ਸਿਰਿਲਿਕ)	Х
ਊ (ਸਿਰਿਲਿਕ)	У
ਐਸ (ਸਿਰਿਲਿਕ)	С
ਕਿੰਗਡਮ ਆਫ਼ ਇੰਗਲੈਂਡ	英格兰王国
ਰੇਤ ਘੜੀ	沙漏
ਕਾਕਾਪੋ	鸮鹦鹉
ਉੱਤਰੀ ਖ਼ੁਰਾਸਾਨ ਸੂਬਾ	北呼羅珊省
ਮਾਰਗਰੈੱਟ ਮੀਡ	瑪格麗特·米德
ਏ ਐੱਸ ਮੋਨਾਕੋ ਫੁੱਟਬਾਲ ਕਲੱਬ	摩纳哥足球俱乐部
ਰੀਜਿਕਨ	雷澤克內
ਫ਼੍ਰੈਡ੍ਰਿਕ ਪਾਸੀ	弗雷德里克·帕西
ਗਜ਼ਨੀ ਸੂਬਾ	加兹尼省
ਰੌਸ ਕਾਊਂਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	罗斯郡足球俱乐部
ਹਰਿਮੰਦਰ ਸਾਹਿਬ	哈曼迪爾寺
ਅਨਖ	生命之符
ਗੋਦ ਲੈਣਾ	收養
ਅਲਾਸਕਾ ਦੀ ਖਾੜੀ	阿拉斯加湾
ਫਿਲਿਪ ਸੀਮੌਰ ਹਾਫਮੈਨ	菲臘·西摩·荷夫曼
ਬੱਦੂ ਲੋਕ	貝都因人
ਆਈਰਨ ਮੈਨ	鋼鐵人
ਦੁਖੀਏ (ਨਾਵਲ)	悲惨世界
ਲਿਓ ਵਿਗੋਤਸਕੀ	利維·維谷斯基
ਕਾਰਪੈਂਟਰੀਆ ਦੀ ਖਾੜੀ	卡奔塔利亞灣
ਸੌਰ ਪੁੰਜ	太阳质量
ਸਮਾਜਵਾਦੀ ਯਥਾਰਥਵਾਦ	社会主义的现实主义
ਅਮ ਦਰਮਾਨ	恩图曼
ਆਦਿ ਸ਼ੰਕਰਾਚਾਰੀਆ	阿迪·商羯罗
ਜੇਨ ਐਡਮਜ਼	珍·亞當斯
ਪ੍ਰਤੀ ਹਜ਼ਾਰ	千分比
ਲਿਟਲ ਬੁਆਏ	小男孩原子彈
ਬਲੋਚਿਸਤਾਨ (ਖੇਤਰ)	俾路支斯坦
ਮੋਲਦੋਵੀ ਲਿਊ	摩爾多瓦列伊
ਵੀਗਨਿਜ਼ਮ	純素食主義
ਦਵੰਦਾਤਮਕ ਪਦਾਰਥਵਾਦ	辩证唯物主义
ਛੋਟੀ ਈ (ਸਿਰਿਲਿਕ)	Й
ਐਰ (ਸਿਰਿਲਿਕ)	Р
ਡਾਰਲਿੰਗ ਦਰਿਆ	達令河
ਗੁਲੀਵਰਸ ਟਰੈਵਲਜ਼	格列佛遊記
ਕਾਓਸੀਅੰਗ	高雄市
ਕਿੰਗ ਲੀਅਰ	李爾王
ਵਾਸ਼ਿੰਗਟਨ ਇਰਵਿੰਗ	華盛頓·歐文
ਜਾਰਜ ਰ. ਰ. ਮਾਰਟਿਨ	喬治·R·R·馬丁
ਕਾਰਬੋਨੇਟ	碳酸根
ਘਟਨਾ ਖਤਿਜ	事件視界
ਦਬਾਅ (ਭਾਸ਼ਾ ਵਿਗਿਆਨ)	轻重音
ਕੋਲਾਇਡ	膠體
ਫ਼ੰਡੀ ਦੀ ਖਾੜੀ	芬迪湾
ਨਾਗਰਿਕ ਸਮਾਜ	公民社会
ਰਾਣੀ ਲਕਸ਼ਮੀਬਾਈ	詹西女王
ਅਕਸਾਰਾਏ	阿克萨赖
ਚੌਧਰ	霸权主义
ਕੁਮਾਸੀ	库马西
ਕਮਿਊਨਿਜਮ-ਵਿਰੋਧ	反共主义
ਮਹਾਂਨਗਰੀ ਇਲਾਕਾ ਜਾਲ	城域网
ਸਮਾਂ ਸਫ਼ਰ	时间旅行
ਜਨੇਊ ਰੋਗ	带状疱疹
ਬੇਨਿਸਤਾਰਾਵਾਦ	领土收复主义
ਸ਼ਚਾ (ਸਿਰਿਲਿਕ)	Щ
ਏਸ਼ੀਆਈ ਸ਼ੇਰ	亞洲獅
ਪੁੱਤਰਜੈ	布城
ਤੇ (ਸਿਰਿਲਿਕ)	Т
ਸਰੇ ਪੋਲ	薩爾普勒省
ਪਕਤੀਆ	帕克蒂亚省
ਰਸਾਇਣਕ ਸਮੀਕਰਨ	化学方程式
ਜਲਪਰੀ	人魚
ਸ਼ਰਲੀ ਟੈਂਪਲ	秀兰·邓波儿
ਤਾਇਫ਼	塔伊夫
ਖ਼ਵਾਰਜ਼ਮ	花剌子模
ਹਾਰਪਰ ਲੀ	哈波·李
ਵਿਰੋਧੀ ਕਣ	反粒子
ਤੁਰਕਾਨਾ ਝੀਲ	图尔卡纳湖
ਬਰਾਮਦ	出口贸易
ਕਨਮਿੰਗ	昆明市
ਅਣਵੀ ਭਾਰ	分子量
ਕੁੱਲ ਕੌਮੀ ਪੈਦਾਵਾਰ	国民生产总值
ਮਾਰੀਓ ਪੁਝੋ	馬里奧·普佐
ਖਿੰਡਾਅ (ਪ੍ਰਕਾਸ਼)	光的色散
ਜੀ ਵੀ ਪਲੈਖ਼ਾਨੋਵ	格奥尔基·瓦连京诺维奇·普列汉诺夫
ਫਲੋਰੀਸੈਂਟ ਲੈਂਪ	螢光燈
ਜੇਨ ਆਇਰ	简·爱
ਕਾਨੋ	卡諾市
ਸਮੰਗਾਨ ਸੂਬਾ	萨曼甘省
ਉਰੁਜ਼ਗਾਨ ਸੂਬਾ	乌鲁兹甘省
ਜੁਜ਼ਜਾਨ ਸੂਬ	朱兹詹省
ਵਾਰਦਾਕ	瓦尔达克省
ਮਰੀ ਦਰਿਆ	墨累河
ਬਰਦਰਜ਼ ਕਾਰਾਮਾਜੋਵ	卡拉馬佐夫兄弟
ਸੈਮੂਅਲ ਜਾਨਸਨ	塞缪尔·约翰逊
ਇਬਾਦਾਨ	伊巴丹
ਜਲਾਲਾਬਾਦ (ਅਫਗਾਨਿਸਤਾਨ)	賈拉拉巴德 (阿富汗)
ਖ਼ੈਬਰ ਪਖ਼ਤੁਨਖ਼ਵਾ	开伯尔-普什图省
ਤਾਨਾਸ਼ਾਹ	獨裁者
ਕਾਲਾ ਹਿਰਨ	印度黑羚
ਵਸਿਲੀ ਜ਼ਾਇਤਸੇਵ	瓦西里·柴契夫
ਮੰਗੋਲੀਆਈ ਤੋਗਰੋਗ	蒙古图格里克
ਬੈਲਿੰਗਜ਼ਹਾਊਸਨ ਸਮੁੰਦਰ	别林斯高晋海
ਲਾਨਜ਼ੂ	兰州市
ਪ੍ਰਾਵਦਾ	真理报
ਵਿਸ਼ਵ ਜਲ ਦਿਵਸ	世界水日
ਦ ਕੈਚਰ ਇਨ ਦ ਰਾਈ	麥田捕手
ਓਮ	唵
ਲੂਈ ਅਲਥੂਜ਼ਰ	路易·皮埃尔·阿尔都塞
ਲਾਬਰਾਡੋਰ ਸਮੁੰਦਰ	拉布拉多海
ਸੁਰਖੀ	口紅
ਸਭ ਤੋਂ ਚਮਕਦਾਰ ਤਾਰਿਆਂ ਦੀ ਸੂਚੀ	恆星亮度列表
ਜੀਲ ਦੇਲੂਜ਼	吉尔·德勒兹
ਸ਼ਾਹ	沙阿
ਮੋਹਾਵੇ ਮਾਰੂਥਲ	莫哈韦沙漠
ਪੰਪਾਸ	彭巴草原
ਆਇਤਉਲਾ	什叶派宗教学者等级
ਅਜੰਤਾ ਗੁਫਾਵਾਂ	阿旃陀石窟
ਕੋਸ਼ਕਾਰੀ	辭書學
ਸੋਫੀਆ ਕੋਵਾਲਸਕਾਇਆ	柯瓦列夫斯卡娅
ਸਰਗੇਈ ਬੁਬਕਾ	謝爾蓋·布卡
ਨਿਰੋਲ ਬਾਦਸ਼ਾਹੀ	君主專制
ਜ਼ਹਿਰੀਲਾ ਮਾਦਾ	毒素
ਸੂਚਨਾ-ਸਮਾਜ	資訊社會
ਮੈਟਾਮੌਰਫਸਿਸ (ਮਹਾਂਕਾਵਿ)	变形记 (奥维德)
ਸਲਾਵੋਏ ਜੀਜੇਕ	斯拉沃熱·齊澤克
ਨਾਜ਼ਿਮ ਹਿਕਮਤ	納辛·辛克美
ਪਾਸ਼ਾ	帕夏
ਇੰਟਰਨੈੱਟ ਰੇਡੀਓ	網路電台
ਪਨੀਰ ਦਾ ਪਾਣੀ	乳清
ਬ੍ਰਾਹਮੀ ਲਿਪੀ	婆罗米文
ਅਬਜਦ	辅音音素文字
ਫ਼ਲੋਅਮ	韧皮部
ਮਹਾਨ ਤਾਕਤ	大国
ਓ.ਜੇ.ਸੇ. ਨੀਸ	尼斯足球俱樂部
ਸ਼ੇਖ਼	谢赫 (称号)
ਦਾਈ	接生員
ਮਾਲੋਕਾ ਸਾਗਰ	馬魯古海
ਮਿਖਾਇਲ ਬਾਖ਼ਤਿਨ	米哈伊尔·米哈伊洛维奇·巴赫京
ਵੋਟ ਦਾ ਹੱਕ	选举权
ਲਗਮਾਨ	拉格曼省
ਮੁਲਤਾਨ	木爾坦
ਕੋਇਟਾ	奎達
ਹੜੱਪਾ	哈拉帕 (巴基斯坦)
ਪਕਤੀਕਾ	帕克蒂卡省
ਰੂੜੀ	有机肥
ਲੋਕ ਭਲਾਈ	慈善家
ਅਰਜੁਨ	阿朱那
ਇਸਾਕ ਆਲਬੇਨੀਸ	伊萨克·阿尔贝尼斯
ਮੁਫ਼ਤੀ	穆夫提
ਅਯੋਧਿਆ	阿约提亚
ਹਰਾ ਇਨਕਲਾਬ	绿色革命
ਰੂਸ ਦੀ ਜ਼ਾਰਸ਼ਾਹੀ	俄罗斯沙皇国
ਗੰਗਟੋਕ	甘托克
ਕੂਫ਼ਾ	库费
ਯੁ (ਸਿਰਿਲਿਕ)	Ю
ਸਜ਼ਾ	惩罚
ਤਖਾਰ ਸੂਬਾ	塔哈尔省
ਵਾਈਟ ਹਾਰਟ ਲੇਨ	白鹿徑球場
ਜੇਮਜ ਵੈੱਬ ਖਗੋਲੀ ਦੂਰਬੀਨ	詹姆斯·韦伯太空望远镜
ਅਲਮਾਟੀ ਸੂਬਾ	阿拉木圖州
ਹਾਚੀਕੋ	忠犬八公
ਪਰਜੀਵੀਪੁਣਾ	寄生
ਸਕੈਂਡੀਨੇਵੀਆਈ ਪਹਾੜ	斯堪的纳维亚山脉
ਅੰਗਰੇਜ਼ੀ ਸਾਹਿਤ	英語文學
ਪਾਕਿਸਤਾਨ ਪੀਪਲਜ਼ ਪਾਰਟੀ	巴基斯坦人民党
ਤਜਰਬਾ ਪੱਤਰੀ	简历
ਨਿਕੋਲਾਈ ਬੁਖਾਰਿਨ	尼古拉·伊万诺维奇·布哈林
ਕਚਿਆਣ	恶心
ਇਬੂਪ੍ਰੋਫ਼ੇਨ	布洛芬
ਖੁਣਾਈ	蚀刻版画
ਬਾਬਾ ਯਾਗਾ	芭芭雅嘎
ਅਭਿਸ਼ੇਕ ਬੱਚਨ	阿彼锡·巴克罕
﻿ਮੇਫ਼ਲਾਵਰ	五月花号
ਆਂਤੋਨਾਂ ਆਰਤੋ	安托南·阿尔托
ਤੱਟੀ ਝੀਲ	潟湖
ਆਬਰਡੀਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	阿伯丁足球俱乐部
ਜੂਜ਼ੈੱਪੇ ਮਾਤਸੀਨੀ	朱塞佩·马志尼
ਤਿਤਲੀ ਪ੍ਰਭਾਵ	蝴蝶效应
ਸਾਮਾਜਕ ਵਰਗ	社会阶级
ਲੂਬੁਮਬਾਸ਼ੀ	盧本巴希
ਕੁਤਬ ਮੀਨਾਰ	顾特卜塔
ਅਰਸ਼ੀ ਮੱਧ ਰੇਖਾ	天球赤道
ਮਹਾਨ ਦਹਿਸ਼ਤ	苏联肃反运动
ਅਬੂ ਧਾਬੀ (ਇਮਰਾਤ)	阿布扎比 (酋长国)
ਟਰੇਸੀ ਚੈਪਮੈਨ	特蕾西·查普曼
ਫਿਨੌਲਪਥਾਲੀਨ	酚酞
ਮਾਰ ਖੋਰ	捻角山羊
ਵਾਕੰਸ਼	词组
ਲੂਣੀ ਝੀਲ	鹹水湖
ਜੁਲੀਅਨ ਰਿਓਸ	朱利安 (色情演員)
ਅਰਥਸ਼ਾਸਤਰੀ	经济学家
ਕੁਨੜ ਸੂਬਾ	库纳尔省
ਪਰਵਾਨ	帕尔旺省
ਫੈਟ ਮੈਨ	胖子 (原子弹)
ਪਾਕਿਸਤਾਨੀ ਰੁਪਈਆ	巴基斯坦盧比
ਟਾਟਾ ਮੋਟਰਜ਼	塔塔汽車
ਚੰਦਰਗੁਪਤ ਮੋਰੀਆ	旃陀罗笈多 (孔雀王朝)
ਤੱਥ	事實
ਪੁਰਾਣ	往世书
ਇਰਾਨੀ ਰਿਆਲ	伊朗里亞爾
ਹਨੂਮਾਨ	哈奴曼
ਲੂਕਾਨਸ	盧坎
ਫ਼ਾਜ਼ਿਲਕਾ ਜ਼ਿਲ੍ਹਾ	法齊爾卡縣
ਜਪਾਨੀ ਸਾਮਰਾਜ	大日本帝国
ਨੌਨ ਸਟੀਰੌਇਡਲ ਐਂਟੀ ਇਨਫ਼ਲਾਮੇਟਰੀ ਦਵਾਈਆਂ	非甾体抗炎药
ਯਾ (ਸਿਰਿਲਿਕ)	Я
ਅਪ੍ਰਤੱਖ ਲੋਕਰਾਜ	代議民主制
ਡੇਵਿਡ ਸ਼ਵੀਮਰ	大卫·史威默
ਸ਼ਾਰਜਾ (ਇਮਰਾਤ)	夏尔迦
ਅਧਿਆਪਕ ਦਿਵਸ	教师节
ਕਾਉਂਟਰ ਕਲਚਰ	反文化
ਕਾਲਜ	學院 (學校)
ਪ੍ਰਾਚੀਨ ਯੂਨਾਨੀ ਥੀਏਟਰ	古希腊戏剧
ਈ ਐਮ ਫੋਰਸਟਰ	E·M·福斯特
ਉਸ਼ਾਕ	烏沙克
ਡੇਵਿਸ ਪਣਜੋੜ	戴维斯海峡
ਮਹਿਮੂਦ ਗਜ਼ਨਵੀ	伽色尼的马哈茂德
ਬੇਰਾਤ ਕਾਉਂਟੀ	培拉特州
ਟਵਾਈਲਾਈਟ (ਨਾਵਲ)	暮光之城：暮色
ਦਮੀਆਤ	杜姆亚特
ਫਿਸਤੁਲਾ	瘘
ਦ ਜੰਗਲ ਬੁੱਕ	叢林奇譚
ਖ਼ੁਰਾਕੀ ਤੱਤ	膳食礦物質
ਇਲੋਰਾ ਗੁਫਾਵਾਂ	埃洛拉石窟
ਹੁਮਾਯੂੰ ਦਾ ਮਕਬਰਾ	胡馬雍陵
ਇਵਾਨ ਗੋਂਚਾਰੇਵ	伊凡·亚历山大罗维奇·冈察洛夫
ਕਾਰਾਬੁਕ	卡拉比克
ਪਾਣਿਨੀ	波你尼
ਇਸਲਾਮੀਅਤ	伊斯兰主义
ਡੇਵਿਡ ਕਾਪਰਫੀਲਡ (ਨਾਵਲ)	大卫·科波菲尔 (小说)
ਸਾਲਸਾ (ਨਾਚ)	莎莎舞
ਆਰਥਿਕ ਵਾਧਾ	经济增长
ਵਿਲੀਅਮ ਰਾਂਡਾਲ ਕ੍ਰੇਮਰ	兰德尔·克里默
ਇਮਰਾਤ	酋长国
ਸੁਪਰ-ਉੱਚ ਵਾਰਵਾਰਤਾ	超高頻
ਵੈਸਟਮਿੰਸਟਰ	西敏 (倫敦地區)
ਇਨੂਇਤ	因纽特人
ਇਤਿਹਾਸਕ ਪਦਾਰਥਵਾਦ	历史唯物主义
ਤਕਨੀਕੀਰਾਜ	专家统治
