আফ্রিকা	非洲
বিষয়শ্রেণী:৫৯৭	Category:597年
বিষয়শ্রেণী:৫৯৭-এ মৃত্যু	Category:597年逝世
বিষয়শ্রেণী:৫৯৮-এ জন্ম	Category:598年出生
বিষয়শ্রেণী:৫৯৯-এ মৃত্যু	Category:599年逝世
বিষয়শ্রেণী:৬০০	Category:600年
বিষয়শ্রেণী:৬০১-এ জন্ম	Category:601年出生
বিষয়শ্রেণী:৬০২	Category:602年
বিষয়শ্রেণী:৬০২-এ মৃত্যু	Category:602年逝世
বিষয়শ্রেণী:৬০৪-এ জন্ম	Category:604年出生
বিষয়শ্রেণী:৬০৫-এ জন্ম	Category:605年出生
বিষয়শ্রেণী:৬০৬	Category:606年
বিষয়শ্রেণী:৬০৬-এ মৃত্যু	Category:606年逝世
বিষয়শ্রেণী:৬০৭-এ জন্ম	Category:607年出生
বিষয়শ্রেণী:৬০৮	Category:608年
বিষয়শ্রেণী:৬১০	Category:610年
বিষয়শ্রেণী:৬১০-এ মৃত্যু	Category:610年逝世
বিষয়শ্রেণী:৬১১-এ জন্ম	Category:611年出生
বিষয়শ্রেণী:৬১২	Category:612年
বিষয়শ্রেণী:৬১২-এ মৃত্যু	Category:612年逝世
বিষয়শ্রেণী:৬১৩-এ জন্ম	Category:613年出生
বিষয়শ্রেণী:৬১৪	Category:614年
বিষয়শ্রেণী:৬১৪-এ মৃত্যু	Category:614年逝世
বিষয়শ্রেণী:৬১৫-এ জন্ম	Category:615年出生
বিষয়শ্রেণী:৬১৬	Category:616年
বিষয়শ্রেণী:৬১৬-এ মৃত্যু	Category:616年逝世
বিষয়শ্রেণী:৬১৭-এ জন্ম	Category:617年出生
বিষয়শ্রেণী:৬১৮	Category:618年
বিষয়শ্রেণী:৬১৮-এ জন্ম	Category:618年出生
বিষয়শ্রেণী:৬১৯	Category:619年
বিষয়শ্রেণী:৬২০	Category:620年
বিষয়শ্রেণী:৬২০-এ মৃত্যু	Category:620年逝世
বিষয়শ্রেণী:৬২১-এ জন্ম	Category:621年出生
বিষয়শ্রেণী:৬২২	Category:622年
বিষয়শ্রেণী:৬২২-এ মৃত্যু	Category:622年逝世
বিষয়শ্রেণী:৬২৩-এ জন্ম	Category:623年出生
বিষয়শ্রেণী:৬২৪	Category:624年
বিষয়শ্রেণী:৬২৪-এ মৃত্যু	Category:624年逝世
বিষয়শ্রেণী:৬২৫-এ জন্ম	Category:625年出生
বিষয়শ্রেণী:৬২৬	Category:626年
বিষয়শ্রেণী:৬২৭	Category:627年
বিষয়শ্রেণী:৬২৭-এ মৃত্যু	Category:627年逝世
বিষয়শ্রেণী:১৯০৭-এ মৃত্যু	Category:1907年逝世
বিষয়শ্রেণী:৬২৮-এ জন্ম	Category:628年出生
বিষয়শ্রেণী:৬২৯	Category:629年
বিষয়শ্রেণী:৬২৯-এ মৃত্যু	Category:629年逝世
বিষয়শ্রেণী:৬৩০-এ জন্ম	Category:630年出生
বিষয়শ্রেণী:৬৩১	Category:631年
বিষয়শ্রেণী:৬৩১-এ মৃত্যু	Category:631年逝世
বিষয়শ্রেণী:১৯৭০-এ জন্ম	Category:1970年出生
বিষয়শ্রেণী:৬৩২-এ জন্ম	Category:632年出生
বিষয়শ্রেণী:১৯৮০-এ মৃত্যু	Category:1980年逝世
বিষয়শ্রেণী:২০০৮-এ মৃত্যু	Category:2008年逝世
বিষয়শ্রেণী:৬৩৩	Category:633年
বিষয়শ্রেণী:৬৩৩-এ মৃত্যু	Category:633年逝世
বিষয়শ্রেণী:১৯৮৬-এ মৃত্যু	Category:1986年逝世
বিষয়শ্রেণী:১৯৬৬-এ মৃত্যু	Category:1966年逝世
বিষয়শ্রেণী:৬৩৪-এ জন্ম	Category:634年出生
বিষয়শ্রেণী:১৯৪৬-এ মৃত্যু	Category:1946年逝世
বিষয়শ্রেণী:১৯৩৮-এ মৃত্যু	Category:1938年逝世
বিষয়শ্রেণী:১৯৮৪-এ জন্ম	Category:1984年出生
বিষয়শ্রেণী:৬৩৭	Category:637年
বিষয়শ্রেণী:১৯৬২-এ মৃত্যু	Category:1962年逝世
বিষয়শ্রেণী:৬৩৭-এ মৃত্যু	Category:637年逝世
বিষয়শ্রেণী:১৯৫৯-এ মৃত্যু	Category:1959年逝世
বিষয়শ্রেণী:৬৩৮-এ জন্ম	Category:638年出生
বিষয়শ্রেণী:১৯৪৩-এ মৃত্যু	Category:1943年逝世
বিষয়শ্রেণী:৬৩৯	Category:639年
বিষয়শ্রেণী:১৯৯০-এ জন্ম	Category:1990年出生
বিষয়শ্রেণী:৬৩৯-এ মৃত্যু	Category:639年逝世
বিষয়শ্রেণী:১৯৩৪-এ মৃত্যু	Category:1934年逝世
বিষয়শ্রেণী:৬৪০-এ জন্ম	Category:640年出生
বিষয়শ্রেণী:১৯৪৯-এ মৃত্যু	Category:1949年逝世
বিষয়শ্রেণী:৬৪১	Category:641年
বিষয়শ্রেণী:৬৪১-এ মৃত্যু	Category:641年逝世
বিষয়শ্রেণী:১৯৭৪-এ জন্ম	Category:1974年出生
বিষয়শ্রেণী:৬৪২	Category:642年
বিষয়শ্রেণী:১৯৪৭-এ মৃত্যু	Category:1947年逝世
বিষয়শ্রেণী:১৯১১-এ মৃত্যু	Category:1911年逝世
বিষয়শ্রেণী:৬৪৩	Category:643年
বিষয়শ্রেণী:১৯০৩-এ মৃত্যু	Category:1903年逝世
বিষয়শ্রেণী:৬৪৩-এ মৃত্যু	Category:643年逝世
বিষয়শ্রেণী:৬৪৫	Category:645年
বিষয়শ্রেণী:২০০৭-এ মৃত্যু	Category:2007年逝世
বিষয়শ্রেণী:৬৪৫-এ মৃত্যু	Category:645年逝世
বিষয়শ্রেণী:৬৪৬-এ জন্ম	Category:646年出生
বিষয়শ্রেণী:৬৪৭	Category:647年
বিষয়শ্রেণী:১৯৬৫-এ জন্ম	Category:1965年出生
বিষয়শ্রেণী:১৯৪০-এ জন্ম	Category:1940年出生
বিষয়শ্রেণী:৬৪৭-এ মৃত্যু	Category:647年逝世
বিষয়শ্রেণী:১৮৯৮-এ জন্ম	Category:1898年出生
বিষয়শ্রেণী:১৮৬৩-এ জন্ম	Category:1863年出生
বিষয়শ্রেণী:৬৪৯	Category:649年
বিষয়শ্রেণী:১৮৬৭-এ জন্ম	Category:1867年出生
বিষয়শ্রেণী:৬৪৯-এ মৃত্যু	Category:649年逝世
বিষয়শ্রেণী:১৮৭১-এ জন্ম	Category:1871年出生
বিষয়শ্রেণী:১৮৬২-এ জন্ম	Category:1862年出生
বিষয়শ্রেণী:৬৫০-এ জন্ম	Category:650年出生
বিষয়শ্রেণী:৬৫১	Category:651年
বিষয়শ্রেণী:১৯৭৭-এ জন্ম	Category:1977年出生
বিষয়শ্রেণী:৬৫১-এ মৃত্যু	Category:651年逝世
বিষয়শ্রেণী:১৮৪৫	Category:1845年
বিষয়শ্রেণী:৬৫২-এ জন্ম	Category:652年出生
বিষয়শ্রেণী:১৮৯৯-এ জন্ম	Category:1899年出生
বিষয়শ্রেণী:৬৫৩	Category:653年
বিষয়শ্রেণী:১৮৪৪	Category:1844年
বিষয়শ্রেণী:৬৫৩-এ মৃত্যু	Category:653年逝世
বিষয়শ্রেণী:৬৫৪-এ জন্ম	Category:654年出生
বিষয়শ্রেণী:৬৫৫	Category:655年
বিষয়শ্রেণী:৬৫৫-এ মৃত্যু	Category:655年逝世
বিষয়শ্রেণী:শতাব্দী অনুযায়ী লেখক	Category:各世纪作家
বিষয়শ্রেণী:৬৫৬-এ জন্ম	Category:656年出生
বিষয়শ্রেণী:৬৫৭	Category:657年
বিষয়শ্রেণী:৬৫৭-এ মৃত্যু	Category:657年逝世
বিষয়শ্রেণী:৬৫৮-এ জন্ম	Category:658年出生
বিষয়শ্রেণী:৬৫৯	Category:659年
বিষয়শ্রেণী:৬৫৯-এ মৃত্যু	Category:659年逝世
বিষয়শ্রেণী:৬৬০-এ জন্ম	Category:660年出生
বিষয়শ্রেণী:৬৬১-এ জন্ম	Category:661年出生
বিষয়শ্রেণী:৬৬২	Category:662年
বিষয়শ্রেণী:১৯৩১-এ জন্ম	Category:1931年出生
বিষয়শ্রেণী:৬৬২-এ মৃত্যু	Category:662年逝世
বিষয়শ্রেণী:৬৬৩-এ জন্ম	Category:663年出生
বিষয়শ্রেণী:১৯১৫-এ জন্ম	Category:1915年出生
বিষয়শ্রেণী:৬৬৪	Category:664年
বিষয়শ্রেণী:১৯২৯-এ জন্ম	Category:1929年出生
বিষয়শ্রেণী:৬৬৪-এ মৃত্যু	Category:664年逝世
বিষয়শ্রেণী:৬৬৫-এ জন্ম	Category:665年出生
বিষয়শ্রেণী:৬৬৬	Category:666年
বিষয়শ্রেণী:৬৬৬-এ মৃত্যু	Category:666年逝世
বিষয়শ্রেণী:৬৬৭-এ জন্ম	Category:667年出生
বিষয়শ্রেণী:৬৬৮	Category:668年
বিষয়শ্রেণী:৬৬৮-এ মৃত্যু	Category:668年逝世
বিষয়শ্রেণী:৬৬৯-এ জন্ম	Category:669年出生
বিষয়শ্রেণী:৬৭০	Category:670年
বিষয়শ্রেণী:৬৭০-এ মৃত্যু	Category:670年逝世
বিষয়শ্রেণী:৬৭১-এ জন্ম	Category:671年出生
বিষয়শ্রেণী:৬৭২	Category:672年
বিষয়শ্রেণী:৬৭২-এ জন্ম	Category:672年出生
বিষয়শ্রেণী:৬৭৩	Category:673年
বিষয়শ্রেণী:৬৭৩-এ মৃত্যু	Category:673年逝世
টেমপ্লেট:Country data তুস্কানি	Template:Country data Tuscany
টেমপ্লেট:রাসায়নিক বন্ধন	Template:化学键和分子间作用力
বিষয়শ্রেণী:৬৭৫	Category:675年
বিষয়শ্রেণী:৬৭৬	Category:676年
বিষয়শ্রেণী:৬৭৬-এ মৃত্যু	Category:676年逝世
বিষয়শ্রেণী:৬৭৭-এ জন্ম	Category:677年出生
বিষয়শ্রেণী:৬৭৮	Category:678年
বিষয়শ্রেণী:৬৭৯	Category:679年
বিষয়শ্রেণী:৬৭৯-এ মৃত্যু	Category:679年逝世
বিষয়শ্রেণী:৬৮০-এ জন্ম	Category:680年出生
বিষয়শ্রেণী:৬৮১	Category:681年
বিষয়শ্রেণী:৬৮১-এ জন্ম	Category:681年出生
বিষয়শ্রেণী:৬৮২	Category:682年
বিষয়শ্রেণী:৬৮২-এ মৃত্যু	Category:682年逝世
বিষয়শ্রেণী:৬৮৩-এ জন্ম	Category:683年出生
বিষয়শ্রেণী:৬৮৪	Category:684年
বিষয়শ্রেণী:৬৮৪-এ মৃত্যু	Category:684年逝世
বিষয়শ্রেণী:৬৮৫-এ জন্ম	Category:685年出生
বিষয়শ্রেণী:৬৮৬	Category:686年
বিষয়শ্রেণী:৬৮৬-এ মৃত্যু	Category:686年逝世
বিষয়শ্রেণী:৬৮৮	Category:688年
বিষয়শ্রেণী:৬৮৮-এ মৃত্যু	Category:688年逝世
বিষয়শ্রেণী:৬৮৯-এ জন্ম	Category:689年出生
বিষয়শ্রেণী:৬৯০	Category:690年
বিষয়শ্রেণী:৬৯০-এ মৃত্যু	Category:690年逝世
বিষয়শ্রেণী:৬৯২	Category:692年
বিষয়শ্রেণী:৬৯২-এ মৃত্যু	Category:692年逝世
বিষয়শ্রেণী:৬৯৩-এ মৃত্যু	Category:693年逝世
বিষয়শ্রেণী:৬৯৪-এ জন্ম	Category:694年出生
বিষয়শ্রেণী:৬৯৫	Category:695年
বিষয়শ্রেণী:৬৯৫-এ মৃত্যু	Category:695年逝世
বিষয়শ্রেণী:৬৯৬-এ জন্ম	Category:696年出生
বিষয়শ্রেণী:৬৯৭	Category:697年
বিষয়শ্রেণী:৬৯৭-এ মৃত্যু	Category:697年逝世
বিষয়শ্রেণী:৬৯৮-এ জন্ম	Category:698年出生
বিষয়শ্রেণী:৬৯৯	Category:699年
বিষয়শ্রেণী:৬৯৯-এ মৃত্যু	Category:699年逝世
বিষয়শ্রেণী:৭০০-এ জন্ম	Category:700年出生
বিষয়শ্রেণী:৭০১	Category:701年
বিষয়শ্রেণী:৭০১-এ মৃত্যু	Category:701年逝世
বিষয়শ্রেণী:৭০২-এ জন্ম	Category:702年出生
বিষয়শ্রেণী:৭০৩	Category:703年
বিষয়শ্রেণী:৭০৩-এ মৃত্যু	Category:703年逝世
বিষয়শ্রেণী:৭০৪-এ জন্ম	Category:704年出生
বিষয়শ্রেণী:৭০৪-এ মৃত্যু	Category:704年逝世
টেমপ্লেট:ফিবা এশীয় দলসমূহ	Template:亚洲篮球协会男子队
বিষয়শ্রেণী:৭০৫-এ জন্ম	Category:705年出生
বিষয়শ্রেণী:৭০৬	Category:706年
বিষয়শ্রেণী:৭০৬-এ মৃত্যু	Category:706年逝世
বিষয়শ্রেণী:৭০৭-এ জন্ম	Category:707年出生
বিষয়শ্রেণী:৭০৮	Category:708年
বিষয়শ্রেণী:৭০৯	Category:709年
বিষয়শ্রেণী:৭০৯-এ মৃত্যু	Category:709年逝世
প্রবেশদ্বার:ধর্ম	Portal:宗教
বিষয়শ্রেণী:৭১০-এ জন্ম	Category:710年出生
বিষয়শ্রেণী:৭১১	Category:711年
বিষয়শ্রেণী:৭১১-এ মৃত্যু	Category:711年逝世
বিষয়শ্রেণী:৭১২-এ জন্ম	Category:712年出生
বিষয়শ্রেণী:৭১৩	Category:713年
বিষয়শ্রেণী:৭১৩-এ মৃত্যু	Category:713年逝世
টেমপ্লেট:Fa icon	Template:Fa icon
বিষয়শ্রেণী:৭১৪-এ জন্ম	Category:714年出生
টেমপ্লেট:User sw-1	Template:User sw-1
টেমপ্লেট:Ms icon	Template:Ms icon
বিষয়শ্রেণী:৭১৫	Category:715年
বিষয়শ্রেণী:৭১৫-এ মৃত্যু	Category:715年逝世
বিষয়শ্রেণী:৭১৬-এ জন্ম	Category:716年出生
বিষয়শ্রেণী:৭১৭	Category:717年
টেমপ্লেট:আত্মসমর্পণকারী	Template:Surrendered
বিষয়শ্রেণী:৭১৭-এ মৃত্যু	Category:717年逝世
বিষয়শ্রেণী:৭১৮-এ জন্ম	Category:718年出生
বিষয়শ্রেণী:৭১৯	Category:719年
বিষয়শ্রেণী:৭১৯-এ মৃত্যু	Category:719年逝世
বিষয়শ্রেণী:৭২০-এ জন্ম	Category:720年出生
বিষয়শ্রেণী:৭২১	Category:721年
বিষয়শ্রেণী:৭২১-এ মৃত্যু	Category:721年逝世
বিষয়শ্রেণী:৭২২-এ জন্ম	Category:722年出生
বিষয়শ্রেণী:৭২৩	Category:723年
বিষয়শ্রেণী:৭২৩-এ মৃত্যু	Category:723年逝世
বিষয়শ্রেণী:৭২৪-এ মৃত্যু	Category:724年逝世
বিষয়শ্রেণী:৭২৫-এ জন্ম	Category:725年出生
বিষয়শ্রেণী:৭২৬	Category:726年
বিষয়শ্রেণী:৭২৬-এ মৃত্যু	Category:726年逝世
বিষয়শ্রেণী:৭২৭-এ জন্ম	Category:727年出生
বিষয়শ্রেণী:৭২৮	Category:728年
বিষয়শ্রেণী:৭২৮-এ মৃত্যু	Category:728年逝世
বিষয়শ্রেণী:৭২৯-এ জন্ম	Category:729年出生
বিষয়শ্রেণী:৭৩০	Category:730年
বিষয়শ্রেণী:৭৩০-এ মৃত্যু	Category:730年逝世
বিষয়শ্রেণী:৭৩১-এ মৃত্যু	Category:731年逝世
টেমপ্লেট:Id icon	Template:Id icon
বিষয়শ্রেণী:৭৩২-এ জন্ম	Category:732年出生
বিষয়শ্রেণী:৭৩৩	Category:733年
বিষয়শ্রেণী:৭৩৩-এ মৃত্যু	Category:733年逝世
বিষয়শ্রেণী:৭৩৫	Category:735年
বিষয়শ্রেণী:৭৩৫-এ মৃত্যু	Category:735年逝世
বিষয়শ্রেণী:৭৩৬-এ জন্ম	Category:736年出生
বিষয়শ্রেণী:৭৩৭	Category:737年
বিষয়শ্রেণী:৭৩৮	Category:738年
বিষয়শ্রেণী:৭৩৮-এ জন্ম	Category:738年出生
বিষয়শ্রেণী:৭৩৯	Category:739年
বিষয়শ্রেণী:৭৩৯-এ মৃত্যু	Category:739年逝世
বিষয়শ্রেণী:৭৪০-এ জন্ম	Category:740年出生
বিষয়শ্রেণী:৭৪১	Category:741年
বিষয়শ্রেণী:৭৪১-এ মৃত্যু	Category:741年逝世
বিষয়শ্রেণী:৭৪২-এ জন্ম	Category:742年出生
বিষয়শ্রেণী:৭৪৩	Category:743年
বিষয়শ্রেণী:৭৪৪	Category:744年
বিষয়শ্রেণী:৭৪৪-এ মৃত্যু	Category:744年逝世
বিষয়শ্রেণী:৭৪৫-এ জন্ম	Category:745年出生
বিষয়শ্রেণী:৭৪৬	Category:746年
বিষয়শ্রেণী:৭৪৬-এ মৃত্যু	Category:746年逝世
বিষয়শ্রেণী:৭৪৭-এ জন্ম	Category:747年出生
বিষয়শ্রেণী:৭৪৮	Category:748年
বিষয়শ্রেণী:৭৪৮-এ জন্ম	Category:748年出生
বিষয়শ্রেণী:৭৪৯	Category:749年
বিষয়শ্রেণী:৭৪৯-এ মৃত্যু	Category:749年逝世
বিষয়শ্রেণী:৭৫০-এ মৃত্যু	Category:750年逝世
বিষয়শ্রেণী:৭৫২	Category:752年
বিষয়শ্রেণী:৭৫২-এ মৃত্যু	Category:752年逝世
বিষয়শ্রেণী:৭৫৩-এ জন্ম	Category:753年出生
বিষয়শ্রেণী:৭৫৪	Category:754年
বিষয়শ্রেণী:৭৫৪-এ মৃত্যু	Category:754年逝世
বিষয়শ্রেণী:৭৫৬	Category:756年
বিষয়শ্রেণী:৭৫৮	Category:758年
বিষয়শ্রেণী:৭৬০	Category:760年
বিষয়শ্রেণী:৭৬৩	Category:763年
বিষয়শ্রেণী:৭৬৫	Category:765年
বিষয়শ্রেণী:৭৬৫-এ মৃত্যু	Category:765年逝世
বিষয়শ্রেণী:৭৭০-এ মৃত্যু	Category:770年逝世
বিষয়শ্রেণী:৭৭৩-এ জন্ম	Category:773年出生
বিষয়শ্রেণী:করাচী থেকে মানুষ	Category:卡拉奇人
বিষয়শ্রেণী:৭৮০-এ জন্ম	Category:780年出生
বিষয়শ্রেণী:১৩৬৩-এ মৃত্যু	Category:1363年逝世
বিষয়শ্রেণী:৭৮৮-এ জন্ম	Category:788年出生
বিষয়শ্রেণী:প্রধানমন্ত্রী	Category:总理
বিষয়শ্রেণী:৬৩২-এ মৃত্যু	Category:632年逝世
বিষয়শ্রেণী:৮০১-এ জন্ম	Category:801年出生
বিষয়শ্রেণী:দেশ অনুযায়ী রাষ্ট্রপতি	Category:各国总统
বিষয়শ্রেণী:৮১০-এ জন্ম	Category:810年出生
বিষয়শ্রেণী:৮১৫-এ মৃত্যু	Category:815年逝世
বিষয়শ্রেণী:১৯৫৪-এ জন্ম	Category:1954年出生
বিষয়শ্রেণী:৮৪১-এ জন্ম	Category:841年出生
বিষয়শ্রেণী:৮৫০	Category:850年
বিষয়শ্রেণী:৮৫৮-এ জন্ম	Category:858年出生
টেমপ্লেট:Infobox royalty	Template:Infobox Royalty
বিষয়শ্রেণী:প্রতীক	Category:符號
বিষয়শ্রেণী:৮৭২	Category:872年
বিষয়শ্রেণী:মানবিক ভূগোল	Category:人文地理學
টেমপ্লেট:Country data Corrientes	Template:Country data Corrientes
বিষয়শ্রেণী:১৯৬১-এর চলচ্চিত্র	Category:1961年电影
টেমপ্লেট:Lang-ota	Template:Lang-ota
বিষয়শ্রেণী:সামাজিক বিজ্ঞান	Category:社会科学
বিষয়শ্রেণী:বেলারুশ	Category:白俄羅斯
বিষয়শ্রেণী:অন্টারিও	Category:安大略
বিষয়শ্রেণী:১৯৯৬-এর বই	Category:1996年書籍
বিষয়শ্রেণী:২০০৯-এর বই	Category:2009年書籍
টেমপ্লেট:পদার্থবিজ্ঞানে নোবেল পুরস্কার বিজয়ী ২০০১-২০২৫	Template:诺贝尔物理学奖获得者 (2001年－2025年)
বিষয়শ্রেণী:১৯৬০-এ জন্ম	Category:1960年出生
টেমপ্লেট:পদার্থবিজ্ঞানে নোবেল পুরস্কার বিজয়ীরা ১৯২৬-১৯৫০	Template:诺贝尔物理学奖获得者 (1926年－1950年)
টেমপ্লেট:পদার্থবিজ্ঞানে নোবেল পুরস্কার বিজয়ীরা ১৯৭৬-২০০০	Template:诺贝尔物理学奖获得者 (1976年－2000年)
টেমপ্লেট:পদার্থবিজ্ঞানে নোবেল পুরস্কার বিজয়ীরা ১৯৫১-১৯৭৫	Template:诺贝尔物理学奖获得者 (1951年－1975年)
বিষয়শ্রেণী:৯২৬	Category:926年
বিষয়শ্রেণী:৯২৬-এ মৃত্যু	Category:926年逝世
বিষয়শ্রেণী:৯৩০-এ মৃত্যু	Category:930年逝世
বিষয়শ্রেণী:তারিখ গণিত টেমপ্লেট	Category:日期计算模板
টেমপ্লেট:Edit protected	Template:Editprotected
বিষয়শ্রেণী:৯৭৩	Category:973年
বিষয়শ্রেণী:৯৭৩-এ জন্ম	Category:973年出生
বিষয়শ্রেণী:৯৮০	Category:980年
টেমপ্লেট:শীর্ষ তথ্যপ্রযুক্তি কোম্পানি	Template:信息技术大公司
লালভান্ডির	圆锥大青
বিষয়শ্রেণী:১০০০-এ মৃত্যু	Category:1000年逝世
বিষয়শ্রেণী:১০০১-এ জন্ম	Category:1001年出生
বিষয়শ্রেণী:১০০১-এ মৃত্যু	Category:1001年逝世
বিষয়শ্রেণী:১০০২-এ জন্ম	Category:1002年出生
বিষয়শ্রেণী:১০০৩-এ জন্ম	Category:1003年出生
বিষয়শ্রেণী:১০০৪-এ জন্ম	Category:1004年出生
বিষয়শ্রেণী:১০০৫-এ জন্ম	Category:1005年出生
বিষয়শ্রেণী:১০০৬-এ জন্ম	Category:1006年出生
বিষয়শ্রেণী:১০০৭-এ জন্ম	Category:1007年出生
বিষয়শ্রেণী:১০০৮-এ জন্ম	Category:1008年出生
বিষয়শ্রেণী:১০০৯-এ জন্ম	Category:1009年出生
বিষয়শ্রেণী:১০১০-এ জন্ম	Category:1010年出生
বিষয়শ্রেণী:১০১১-এ জন্ম	Category:1011年出生
বিষয়শ্রেণী:১০১২-এ জন্ম	Category:1012年出生
বিষয়শ্রেণী:১০১২-এ মৃত্যু	Category:1012年逝世
বিষয়শ্রেণী:১০১৩-এ জন্ম	Category:1013年出生
বিষয়শ্রেণী:১০১৪	Category:1014年
বিষয়শ্রেণী:১০১৪-এ জন্ম	Category:1014年出生
বিষয়শ্রেণী:১০১৪-এ মৃত্যু	Category:1014年逝世
বিষয়শ্রেণী:১০১৫-এ জন্ম	Category:1015年出生
বিষয়শ্রেণী:১০১৫-এ মৃত্যু	Category:1015年逝世
বিষয়শ্রেণী:১০১৬	Category:1016年
বিষয়শ্রেণী:১০১৬-এ জন্ম	Category:1016年出生
বিষয়শ্রেণী:১০১৬-এ মৃত্যু	Category:1016年逝世
বিষয়শ্রেণী:১০১৭	Category:1017年
বিষয়শ্রেণী:১০১৭-এ জন্ম	Category:1017年出生
বিষয়শ্রেণী:১০১৭-এ মৃত্যু	Category:1017年逝世
বিষয়শ্রেণী:১০১৮	Category:1018年
বিষয়শ্রেণী:১০১৮-এ জন্ম	Category:1018年出生
বিষয়শ্রেণী:১০১৯	Category:1019年
বিষয়শ্রেণী:১০১৯-এ জন্ম	Category:1019年出生
বিষয়শ্রেণী:১০২০	Category:1020年
বিষয়শ্রেণী:১০২১	Category:1021年
বিষয়শ্রেণী:১০২১-এ জন্ম	Category:1021年出生
বিষয়শ্রেণী:১০২১-এ মৃত্যু	Category:1021年逝世
বিষয়শ্রেণী:১০২২-এ জন্ম	Category:1022年出生
বিষয়শ্রেণী:১০২৩	Category:1023年
বিষয়শ্রেণী:১০২৩-এ জন্ম	Category:1023年出生
বিষয়শ্রেণী:১০২৪	Category:1024年
বিষয়শ্রেণী:১০২৪-এ জন্ম	Category:1024年出生
বিষয়শ্রেণী:১০২৪-এ মৃত্যু	Category:1024年逝世
বিষয়শ্রেণী:১০২৫	Category:1025年
বিষয়শ্রেণী:১০২৫-এ জন্ম	Category:1025年出生
বিষয়শ্রেণী:১০২৫-এ মৃত্যু	Category:1025年逝世
বিষয়শ্রেণী:১০২৬	Category:1026年
বিষয়শ্রেণী:১০২৬-এ মৃত্যু	Category:1026年逝世
বিষয়শ্রেণী:১০২৭	Category:1027年
বিষয়শ্রেণী:১০২৭-এ মৃত্যু	Category:1027年逝世
বিষয়শ্রেণী:১০২৮	Category:1028年
বিষয়শ্রেণী:১০২৮-এ জন্ম	Category:1028年出生
বিষয়শ্রেণী:১০২৯-এ জন্ম	Category:1029年出生
বিষয়শ্রেণী:১০৩০	Category:1030年
বিষয়শ্রেণী:১০৩০-এ জন্ম	Category:1030年出生
বিষয়শ্রেণী:১০৩১	Category:1031年
বিষয়শ্রেণী:১০৩১-এ মৃত্যু	Category:1031年逝世
বিষয়শ্রেণী:১০৩২	Category:1032年
বিষয়শ্রেণী:১০৩২-এ জন্ম	Category:1032年出生
বিষয়শ্রেণী:১০৩২-এ মৃত্যু	Category:1032年逝世
বিষয়শ্রেণী:১০৩৩-এ জন্ম	Category:1033年出生
বিষয়শ্রেণী:১০৩৩-এ মৃত্যু	Category:1033年逝世
বিষয়শ্রেণী:১০৩৪-এ জন্ম	Category:1034年出生
বিষয়শ্রেণী:১০৩৫-এ জন্ম	Category:1035年出生
বিষয়শ্রেণী:১০৩৬	Category:1036年
বিষয়শ্রেণী:১০৩৬-এ জন্ম	Category:1036年出生
বিষয়শ্রেণী:১০৩৬-এ মৃত্যু	Category:1036年逝世
বিষয়শ্রেণী:১০৩৮	Category:1038年
বিষয়শ্রেণী:১০৩৮-এ মৃত্যু	Category:1038年逝世
বিষয়শ্রেণী:১০৩৯	Category:1039年
বিষয়শ্রেণী:১০৩৯-এ জন্ম	Category:1039年出生
বিষয়শ্রেণী:১০৪০	Category:1040年
বিষয়শ্রেণী:১০৪০-এ জন্ম	Category:1040年出生
বিষয়শ্রেণী:১০৪০-এ মৃত্যু	Category:1040年逝世
বিষয়শ্রেণী:১০৪১	Category:1041年
বিষয়শ্রেণী:১০৪১-এ মৃত্যু	Category:1041年逝世
বিষয়শ্রেণী:১০৪২	Category:1042年
বিষয়শ্রেণী:১০৪২-এ মৃত্যু	Category:1042年逝世
বিষয়শ্রেণী:১০৪৩	Category:1043年
বিষয়শ্রেণী:১০৪৩-এ জন্ম	Category:1043年出生
বিষয়শ্রেণী:১০৪৪	Category:1044年
বিষয়শ্রেণী:১০৪৪-এ জন্ম	Category:1044年出生
বিষয়শ্রেণী:১০৪৫	Category:1045年
বিষয়শ্রেণী:১০৪৫-এ মৃত্যু	Category:1045年逝世
বিষয়শ্রেণী:১০৪৬-এ জন্ম	Category:1046年出生
বিষয়শ্রেণী:১০৪৭	Category:1047年
বিষয়শ্রেণী:১০৪৭-এ জন্ম	Category:1047年出生
বিষয়শ্রেণী:১০৪৮	Category:1048年
বিষয়শ্রেণী:১০৪৮-এ মৃত্যু	Category:1048年逝世
টেমপ্লেট:গোয়েন্দা সংস্থা	Template:National Intelligence Agencies
বিষয়শ্রেণী:১০৪৯-এ জন্ম	Category:1049年出生
বিষয়শ্রেণী:১০৫০	Category:1050年
বিষয়শ্রেণী:১০৫০-এ জন্ম	Category:1050年出生
বিষয়শ্রেণী:১০৫০-এ মৃত্যু	Category:1050年逝世
বিষয়শ্রেণী:১০৫১-এ জন্ম	Category:1051年出生
বিষয়শ্রেণী:১০৫১-এ মৃত্যু	Category:1051年逝世
বিষয়শ্রেণী:১০৫২-এ জন্ম	Category:1052年出生
বিষয়শ্রেণী:১০৫৩	Category:1053年
বিষয়শ্রেণী:১০৫৩-এ মৃত্যু	Category:1053年逝世
টেমপ্লেট:MCO	Template:MCO
বিষয়শ্রেণী:১০৫৪	Category:1054年
টেমপ্লেট:Country data হাঙ্গেরি	Template:Country data Hungary
