आफ्रिकाखण्डः	非洲
जाकिर हुसैन	扎基尔·侯赛因
राजशिम्बी	荚果
अजय देवगन	阿傑·德烏根
कन्दशाकम्	苤藍
बहुनेत्रफलम्	凤梨属
सिद्धपेयम्	軟性飲料
सुब्रह्मण्यन् चन्द्रशेखरः	苏布拉马尼扬·钱德拉塞卡
रजनीशः	奧修
मध्यप्रदेशस्य मण्डलानि	中央邦行政区划
लज्जालुसस्यम्	含羞草
कबड्डिक्रीडा	卡巴迪
गुरु दत्त	古魯·度特
नागरङ्गफलम्	枸櫞
डेविड दे हेया	大衞·迪基亞
जार्ज् कार्लिन्	喬治·卡林
चोळवंशः	朱罗王朝
एडवार्ड् वी एप्पलटन्	爱德华·阿普尔顿
काफीबीजम्	咖啡豆
भ्रष्टतण्डुलः	米香
कोला	科拉
नार्मन् बोर्लाग्	诺曼·布劳格
इगोर वाइ टाम	伊戈尔·叶夫根耶维奇·塔姆
राबर्ट् ब्रौन्	罗伯特·布朗
जोसेफ् लिस्टर्	约瑟夫·李斯特，第一代李斯特男爵
मासातोशी कोशिबा	小柴昌俊
हिदेकी युकावा	汤川秀树
लुइ नील	路易·奈耳
डेनिस गाबोर	丹尼斯·加博尔
यूजीन विग्नर	尤金·维格纳
हान्स बेथे	汉斯·贝特
एरण्डसस्यम्	蓖麻
आजाद हिन्द फौज्	印度国民军
काकमाची	颠茄
तक्षशिलाविश्वविद्यालयः	塔克西拉
जे. बि. एस्. हाल्डेन्	约翰·伯顿·桑德森·霍尔丹
वास्तुकम्	苋属
सर्वपल्ली राधाकृष्णन्	萨瓦帕利·拉达克里希南
काफीसस्यम्	咖啡屬
लकुचम्	桑科
पूगवृक्षः	檳榔
साम्युयेल् हानिमन्	山姆·赫尼曼
वामनी	菖蒲
भेडाघाट्	贝达加特
ग्वालियर	瓜廖尔
जूही चावला	菊希·曹拉
दीपिका पडुकोणे	荻皮卡·帕都恭
नागवल्लीपत्रम्	蒌叶
जपापुष्पम्	朱槿
सिंहराशिः	獅子宮
ह्यूगो द व्रीस्	许霍·德弗里斯
रामः	羅摩
हेनरी ६	亨利六世 (英格兰)
एडवर्ड ४	爱德华四世
थियोफ्रास्टस्	泰奧弗拉斯托斯
पुतिहासस्यम्	野薄荷
पारसीकयवानी	天仙子 (植物)
अरग्वदवृक्षः	阿勃勒
प्रियङ्गुः	小米
कर्कटराशिः	巨蟹宮
आम्रम्	杧果属
वितुन्नः	青葙
एडवार्ड गिबन	爱德华·吉本
हेनरी ४	亨利四世 (英格兰)
कुम्भराशिः	寶瓶宮
महानिम्बिसस्यम्	苦楝
स्पन्दमापिनी	聽診器
जेन	简·格雷
प्रयागः	安拉阿巴德
ओन्कोलोजी	肿瘤学
सी टी आर विल्सन	查爾斯·湯姆森·里斯·威爾遜
सोनिया गान्धी	索尼娅·甘地
विलियम शाक्ली	威廉·肖克利
निमेन्या विडिच	內馬尼亞·維迪奇
द डार्क् नैट्	黑暗騎士
श्यामाकः	稗属
वृषभराशिः	金牛宮
मकरराशिः	摩羯宮
आल्बर्ट् स्याबिन्	阿爾伯特·沙賓
साङ्ख्यदर्शनम्	数论 (印度哲学)
हरितगृहम्	溫室
चित्रदुर्गमण्डलम्	奇特拉杜尔加县
मधुरकूष्माण्डम्	南瓜
उन्नतकूर्दनम्	跳高
स्टार् वार्स्:दि फ़ांटम् मेनस्	星際大戰首部曲：威脅潛伏
परावर्तनम् (भौतविज्ञानम्)	反射 (物理学)
इसिडोर ऐजक रबि	伊西多·拉比
बैटमेन बिगिंस्	蝙蝠俠：開戰時刻
मध्यमा	中指
विजयनगरसाम्राज्यम्	毗奢耶那伽罗王朝
तिरुवनन्तपुरम्	锡鲁万纳塔普拉姆
गुल्फः	腳踝
कार्ल् डी एन्डरसन्	卡尔·戴维·安德森
धूमनीहारः	烟霞
दार्जिलिङ्ग	大吉嶺
श्रीनगरम्	斯利那加
डिमीटार बरबाटोव	迪米塔尔·贝尔巴托夫
आण्ड्रियेस् वेसेलियस्	安德雷亚斯·维萨里
ओलम्पिक् ज्वाला	奥林匹克圣火
अगर्तला	阿加尔塔拉
निम्बः	印度苦楝樹
एडवर्ड ५	爱德华五世
पार्वती	雪山神女
प्रलम्बकूर्दनम्	跳遠
जानुवातः सन्धिवातश्च	关节炎
रोबर्ट वूड्रो विल्सन	罗伯特·威尔逊
मृदुकन्दुक-क्रीडा	壘球
शतद्रुनदी	萨特莱杰河
भुवनेश्वरम्	布巴内什瓦尔
रक्तदुर्गम् (आग्रा)	阿格拉堡
भारतस्य राष्ट्रियचिह्नम्	印度国徽
जार्ज् क्युव्ये	喬治·居維葉
पर्सी ब्रिजमन	珀西·布里奇曼
स्टीवन चू	朱棣文
कटनी	穆尔瓦拉
डैरेन फ्लेचर	达伦·弗莱彻
मरे गेलमन	默里·盖尔曼
प्योट्र कापिट्सा	彼得·列昂尼多维奇·卡皮察
एमिलियो गीनो सेग्रे	埃米利奥·塞格雷
कनीनिका	瞳孔
मनोरञ्जनं	娛樂
प्रेमचन्दः	普列姆昌德
हिब्रूविश्वविद्यालयः (येरुशलम्)	耶路撒冷希伯來大學
अंटोनियो वालेंसिया	安东尼奥·瓦伦西亚
पार्ष्णिः	踵
रेमन्ड डेविस जुनियर	雷蒙德·戴维斯
थामस् हण्ट् मार्गन्	托马斯·亨特·摩尔根
गाब्रियोलो फालोपियस्	加布里瓦·法罗皮奥
सेसिल पावेल	塞西尔·鲍威尔
लुइ अल्वारेज़	路易斯·阿尔瓦雷茨
अन्ताराष्ट्रियः व्यापारः	国际贸易
खजुराहो	克久拉霍
खण्डकाव्यानि	奥德 (诗歌)
फतेह्-पुर्-सिक्री	法泰赫普尔西克里
जिद्दु कृष्णमूर्ति	吉杜·克里希那穆提
स्टीवन वैनबर्ग	史蒂文·温伯格
जोर्ज एफ स्मूट	乔治·斯穆特
लीयो एसाकी	江崎玲於奈
पुनर्गमनवाद	递归
सुवर्णमन्दिरम्	哈曼迪爾寺
आदिशङ्कराचार्यः	阿迪·商羯罗
स्टार् वार्स्:अटाक् आफ़् दि क्लोन्स्	星際大戰二部曲：複製人全面進攻
साञ्चीस्तूपः	桑吉
ब्रायन जोसेफसन	布赖恩·约瑟夫森
चेन निंग यांग	杨振宁
महाथिर मोहमद	马哈迪·莫哈末
तन्त्रशास्त्रम्	怛特羅密教
कर्पूरम्	樟腦
झांसी लक्ष्मीबाई	詹西女王
अगस्टा, जार्जिया	奥古斯塔 (佐治亚州)
प्लास्टिक शल्यचिकित्सा	整形
आडुबान् जान् जेम्स्	约翰·詹姆斯·奥杜邦
रेखिचिकित्सा	灵气疗法
जलमालिन्यम्	水污染
हंस:	雁属
मोक्षः	解脫
जीवविकासवादः	達爾文主義
ॐ	唵
थामस् हेन्रि हक्स्लि	托马斯·亨利·赫胥黎
अजन्तागुहाः	阿旃陀石窟
पेट्रिक एम एस ब्लाकेट	帕特里克·布莱克特
सिन-इतिरो तोमोनागा	朝永振一郎
चार्ल्स् एच् टाउन्स्	查尔斯·汤斯
गेरार्डस 'टी हूफ्ट	杰拉德·特·胡夫特
मारीस् एच् विल्किन्स्	莫里斯·威爾金斯
तर्जनी	示指
हास्टिंग्स बान्डा	海斯廷斯·卡穆祖·班达
दण्डकूर्दनम्	撑竿跳高
ब्राह्मीलिपिः	婆罗米文
मणिबन्धः	腕
अर्जुनः	阿朱那
मिग्नेल् सर्वेटस्	米格爾·塞爾韋特
वैश्यः	吠舍
अयोध्या	阿约提亚
गङ्गटोक्	甘托克
धर्मशाला, हिमाचलप्रदेशः	达兰萨拉
जुलियन श्विंगर	朱利安·施温格
विलिस इ लाम्ब	威利斯·兰姆
राष्ट्रियध्वजः	国旗
दाहोदमण्डलम्	多哈德县
कार्लो रुबिया	卡洛·鲁比亚
त्रिः कूर्दनम्	三级跳远
राबर्ट १	罗伯特一世 (苏格兰)
कुतुब् मिनार्	顾特卜塔
डैनी वेल्बेक	丹尼·维尔贝克
चन्द्रगुप्तमौर्यः	旃陀罗笈多 (孔雀王朝)
पुराणानि	往世书
हनुमान्	哈奴曼
पत्नी	妻子
शिक्षकदिनम् (भारतम्)	教师节
राष्ट्रियपुस्तकालयः (इजरायल्)	以色列国家图书馆
नेविल एफ मोट्ट	内维尔·莫特
एल्लोरागुहाः	埃洛拉石窟
पाणिनिः	波你尼
मेल्विन श्वार्ट्ज	梅尔文·施瓦茨
निकोलास ब्लोम्बर्गन	尼古拉斯·布隆伯根
हिब्रूभाषा-अकादमी	希伯来语科学院
आर्थर एल शालो	阿瑟·肖洛
मेमेन्टो	凶心人
जेम्स रेनवाटर	利奥·雷恩沃特
विलियम डी फिलिप्स	威廉·丹尼尔·菲利普斯
मार्टिन राइल	马丁·赖尔
फिलिप दबल्यु एन्डरसन	菲利普·安德森
फ्रान्सिस् गाल्टन्	法蘭西斯·高爾頓
लुक्रेजिया बोर्गिया	盧克雷齊亞·波吉亞
सीता	悉多
गोदावरीनदी	哥达瓦里河
श्री अरविन्दः	師利·奧羅賓多
अनामिका	無名指
ऐजोल	艾藻尔
छन्दः	韵律
लीयोन एम लीडरमन	利昂·萊德曼
चार्ल्स बार्क्ले	查尔斯·巴克利
भारतस्य प्रधानमन्त्री	印度总理
ए जे लेगेट	安東尼·萊格特
काजीराङ्गाराष्ट्रियोद्यानम्	加济兰加国家公园
वर्नियरमापकम्	游标卡尺
उष्णरक्तप्राणिनः	恒温动物
जेम्स क्रोनिन	詹姆斯·克罗宁
कृष्णा	奎師那河
केनेथ् जी विल्सन्	肯尼斯·威爾森
हीनयानम्	小乘佛教
सत्याग्रहः	真理堅固
मण्डी	马恩迪
राजेन्द्र प्रसाद	拉金德拉·普拉萨德
देहरादून	台拉登
गुवाहाटी	古瓦哈提
विश्वपरिसरदिनम्	世界环境日
बार्बर मेक्लिन्टाक्	巴巴拉·麦克林托克
उपमालङ्कारः	比喻
विशाखपट्टणमण्डलम्	维沙卡帕特南
विजयवाडा	维杰亚瓦达
जोधपुरम्	焦特布尔
अजमेर	阿杰梅尔
जोनास् एड्वर्ड् साक्	乔纳斯·索尔克
उज्जैन	鄔闍衍那
लुधियाना	卢迪亚纳
मेरठ	密拉特
मथुरा	马图拉
उदयपुरम्	烏代浦
औरङ्गाबाद् (महाराष्ट्रम्)	奥郎加巴德
बीकानेर	比卡內爾
जबलपुरम्	贾巴尔普尔
कास्सोवारिस्	鹤鸵
रिचार्ड इ टेलर	理查·爱德华·泰勒
विज्ञानेतिहासः	科学史
अलिगढ, उत्तरप्रदेशः	阿里格尔
अमृतसरमण्डलम्	阿姆利則縣
ग्यास्पर्डड-गुस्ताव डि कोरियोलिस	贾斯帕-古斯塔夫·科里奥利
सामाजिकमाध्यमानि	社会化媒体
ब्रह्मगुप्तः	婆羅摩笈多
प्लासीयुद्धम्	普拉西战役
पोर्ट्ब्लेरः	布萊爾港
रिचर्ड क्रामवेल	理查德·克伦威尔
जेर्टि थेरेसा कोरि	格蒂·科里
सिरोहीमण्डलम्	錫洛伊縣
सन्धिः	连音
गाझियाबाद्, उत्तरप्रदेशः	加濟阿巴德
उडुपचालनक्रीडा	泛舟
कटकम्	克塔克
ठाणे	塔那
शिलाङ्ग	西隆
ट्रिचिमलैदुर्गम्	蒂魯吉拉帕利
जगन्नाथपुरी	普里
इन्द्रियनिग्रहः	贞操
महाबलिपुरम्	马马拉普拉姆
इम्फाल	因帕爾
मु अम्मर् गडाफ़ि	赛义夫·伊斯兰·卡扎菲
पटियाला	伯蒂亚拉
फेडेरिको माकेडा	费德里科·马凯达
भारतचीनयुद्धम्	中印边境战争
दूर्वा	狗牙根
जलियान्वालाबाग हत्याकाण्डः	阿姆利则血案
सूत्रम्	契經
चन्दनम्	檀香
चेरापूञ्जी	乞拉朋齐
मियाण्डर्	大門德雷斯河
काञ्चिपुरम्	甘吉布勒姆
बरेली	巴雷利
वारङ्गल् दुर्गम्	瓦朗加尔
प्रकृतिचिकित्सा	自然醫學
पणजी	帕纳吉
वितस्ता	杰赫勒姆河
एड्डिङ्गटन् सर् अर्थर् स्ट्यान्ले	亚瑟·爱丁顿
नारिकेलतैलम्	椰子油
कावेरीनदी	高韦里河
नालन्दाविश्वविद्यालयः	那烂陀寺
चम्पा	占婆
चन्द्रभागा	奇納布河
हर्षवर्धनः	戒日王朝
मोरारजी देसाई	莫拉尔吉·德赛
नडियाद	纳迪亚德
नारङ्गफलरसः	橙汁
दलितजनः	贱民 (印度)
आर् लेनेक् मानारल्	雷奈克
नाविकनीलः	群青
डैरेन गिब्सन	达隆·吉布森
ध्रुवीय उपग्रह प्रक्षेपण यानम्	極軌衛星運載火箭
कन्याकुमारी	科摩林角
जेम्स ३	詹姆斯三世 (苏格兰)
श्वेतपत्रम्	白皮书
मेरी १	玛丽一世
कनिष्ठिका	小指
मधुरै	马杜赖
भारतस्य राष्ट्रियपञ्चाङ्गम्	印度國定曆
भारतीय-अन्तरिक्ष-अनुसन्धान-सङ्घटनम् (ISRO)	印度空间研究组织
कस्तूरिमृगः	麝科
लोकसभा	人民院 (印度)
अण्णा हजारे	安纳·哈扎尔
पतञ्जलिः	波颠阇利
भीमराव रामजी अम्बेडकर	博希姆勞·安贝德卡尔
बोअ क्वोन्	寶兒
माधुरी दीक्षित	瑪都麗·荻西特
जम्बूफलम्	閻浮樹
कोशातकी	丝瓜属
अटल बिहारी वाजपेयी	阿塔尔·比哈里·瓦杰帕伊
अक्षय कुमार	阿克夏·庫馬
पञ्चतन्त्रम्	五卷书
नर्मदानदी	讷尔默达河
मगधदेश:	摩揭陀
कोहिमा	科希马
बिल्वः	木橘
शिग्रुः	辣木
श्रीविजयराजवंशः	三佛齐
भारतीयसाम्यवादिपक्षः(मार्क्सवादी)	印度共产党（马克思主义）
आल्लाह्	安拉
शुष्कफलानि	果乾
जेम्स १ (स्काटलैंड)	詹姆斯一世 (苏格兰)
के आर् नारायणन्	科切里尔·拉曼·纳拉亚南
रुत् प्रवर् जब्वाला	露絲·鮑爾·賈華拉
केवलादेव्-राष्ट्रियोद्यानम्	凱奧拉德奧國家公園
छत्रपतिशिवाजीटर्मिनस्	贾特拉帕蒂·希瓦吉终点站
गोकुरासस्यम्	蒺藜
अथर्ववेदः	阿闼婆吠陀
सामवेदः	娑摩吠陀
कटिः	腰
सुरेन्द्रनगरमण्डलम्	苏仁德拉那加县
सोलापुरम्	索拉普
कल्पना चावला	卡尔帕娜·乔拉
दाण्डीयात्रा	食盐进军
डेविड २	大卫二世 (苏格兰)
छत्रपति शिवाजी	希瓦吉
ॐ मणि पद्मे हूँ	六字真言
मिन्दौगः	明道加斯
सहारनपुरम्	薩哈蘭普爾
जैसलमेर	贾沙梅尔
भावनगरम्	巴夫那加尔
झान्सी	占西
गोरखपुरम्	戈勒克布爾
लाल बहादूर शास्त्री	拉尔·巴哈杜尔·夏斯特里
राज्यसभा	印度联邦院
कृष्णनिम्बपत्रम्	可因氏月橘
ऐन्डर्स लिनडेगार्ड	安達斯·連迪加特
भारतद्वारम्	印度门 (德里)
इन्द्र कुमार गुजराल	因德尔·库马尔·古杰拉尔
सरोजिनी नायुडु	沙拉金尼·奈都
गया	加雅
कोडैक्यानल्	科代卡纳尔
सौत्रान्तिकाः	经量部
यष्टी	光果甘草
अमरेलीमण्डलम्	安雷利县
गोराणी	瓜尔
आरण्यकम्	森林书
अस्थि	骨骼
जार्ज ५	乔治五世
बेळगावी	贝尔高姆
इन्दोनेशिया राष्ट्रपति सूची	印度尼西亚总统
कवरत्ती	卡瓦拉蒂
विन्ध्यः	温迪亚山脉
दिसपुर	第斯普尔
बाष्पस्थाली	壓力鍋
जेम्स २ (स्काटलैंड)	詹姆斯二世 (苏格兰)
हरिद्वारम्	赫尔德瓦尔
पी वी नरसिंह राव्	纳拉辛哈·拉奥
ग्रन्थसम्पादनप्रविधिः	文本批评
सीताफलम्	番荔枝属
आम्ब्रोस् पारे	安布鲁瓦兹·帕雷
कारैकल्	开利开尔
यानम्, पाण्डीचेरी	亚南
माहे	马埃
नोयडा	诺伊达
जार्ज ६	乔治六世
शिवमोग्गामण्डलम्	希莫加
स्वामी रामदेवः	蘭德福
चम्पावतमण्डलम्	金巴沃德县
कोटो (वाद्यम्)	日本箏
राबर्ट ३	罗伯特三世 (苏格兰)
लियाण्डर् पेस्	利安德·帕斯
जार्ज् वाशिङ्ग्टन् कार्वर्	喬治·華盛頓·卡弗
डयोस्कोरिडीस्	迪奥科里斯
आर् वेङ्कटरामन्	拉马斯瓦米·文卡塔拉曼
मडिकेरी	马迪凯里
पळनी	帕拉尼
इडुक्की मण्डलम्	伊都基縣
अरविन्दाश्रमः	奧羅賓多修道院
पुरुलियामण्डलम्	普如里亞縣
मरीचिका (भौतविज्ञानम्)	海市蜃楼
धात्री	餘甘子
जाह्न बालियोल	约翰·巴里奥
पुनर्नवा	黄细心
आम्रातकम्	槟榔青属
बेन अमोस	本·阿莫斯
अश्वघोषः	馬鳴
महेशभूपतिः	马赫什·布帕蒂
बालगङगाधरतिलकः	巴尔·甘格达尔·提拉克
वि वि गिरि	瓦拉哈吉里·文卡塔·吉里
राबर्ट २	罗伯特二世 (苏格兰)
तुलसीदासः	杜勒西达斯
भारतस्य राष्ट्रपतिः	印度總統
जगदीश चन्द्र बसु	贾格迪什·钱德拉·博斯
बिन्दुसारः	宾头娑罗
फखरुद्दीन अली अहमद	法赫鲁丁·阿里·艾哈迈德
इरावती	拉維河
सिलवासा	锡尔瓦萨
जिरोलावो फ्राकास्टोरो	吉罗拉莫·弗拉卡斯托罗
चौधरी चरणसिंह	查蘭·辛格
जमशेदजी टाटा	贾姆希德吉·塔塔
बीजपूरफलम्	番石榴属
अभिज्ञानशाकुन्तलम्	沙恭達羅
कोल्लम्	奎隆
मनुस्मृतिः	摩奴法論
भारतरत्नम्	印度国宝勋章
घृतम्	酥油 (印度)
भारतीयसंस्कृतिः	印度文化
सारनाथम्	鹿野苑
राकेश शर्मा	拉科什·沙尔马
मावेन् अन्तरिक्षयानम्	MAVEN
उत्पतनी	蹦床
मत्स्यावतारः	摩蹉
वेदव्यासः	广博仙人
कोटा	科塔
मोरादाबाद्	莫拉達巴德
भारतीयवायुसेना	印度空軍
शङ्कर दयाल शर्मा	尚卡尔·达亚尔·夏尔马
चन्द्रशेखरसिंह	錢德拉·謝卡爾
ज्ञानी जैल सिंह	吉亚尼·宰尔·辛格
भर्तृहरिः	伐致呵利
नीलं सञ्जीव रेड्डि	尼兰·桑吉瓦·雷迪
एरण्डतैलम्	蓖麻油
उत्तर २४ परगणामण्डलम्	北24區縣
नोबल पुरस्कार-विजेतानां सूची	諾貝爾獎得主列表
जेम्स १	詹姆斯一世
भारतीयभूसेना	印度陸軍
भारतीयनौसेना	印度海軍
आदिवासिनः	阿迪瓦西
जरनैल सिंह भिण्डरांवाले	贾奈尔·辛格·宾德兰瓦勒
महम्मद हामिद आन्सारि	穆罕默德·哈米德·安萨里
रामदुर्गम्	拉姆杜尔格
रायपुर	賴布爾
भारतीयदर्शनशास्त्रम्	印度哲学
एरासिस्ट्राटस्	埃拉西斯特拉图斯
भगत सिंह	巴格特·辛格
राजेन्द्रकुमारः पचौरि	拉金德拉·帕乔里
एच्. डी. देवे गौडा	德韋·高達
मेघनाद साहा	梅格納德·薩哈
चक्रवर्ती राजगोपालाचारी	查克拉瓦尔蒂·拉贾戈巴拉查理
उशीरसस्यम्	香根草
करौली	卡劳利
विक्रम सेठ	维克拉姆·塞斯
विकिपीडिया:वैज्ञानिक-शब्दावलिः/V	節約能源
कार्तिकेयः	室建陀
दुर्गा	难近母
पाटना	巴連弗邑
अग्निः	阿耆尼
भारतीय-प्रीमियर् लीग्	印度超級板球聯賽
जेम्स २	詹姆斯二世
जाह्न	約翰
अहमदाबादमण्डलम्	艾哈迈达巴德县
अहमदनगरमण्डलम्	艾哈邁德訥格爾縣
मातारामराजवंशः	马打兰王国
कारगिलयुद्धम्	卡吉尔战争
अजमेरमण्डलम्	阿傑梅爾縣
खाद्यतैलम्	食用油
रामनगरमण्डलम्	拉馬納加拉縣
कारवेल्लम्	苦瓜
बळ्ळारीमण्डलम्	贝拉里
पाटलः	粉红色
अलवरमण्डलम्	阿爾瓦爾縣
अमरनाथः	阿马尔纳特石窟
अम्बाला	安巴拉
अम्बेडकरनगरमण्डलम्	安倍德卡爾那加爾縣
बीदरनगरम्	比德爾
सोलन्	索兰
महाबळेश्वरम्	马哈巴莱斯赫瓦尔
माथेरान्	马泰兰
सायना नेहवाल	塞娜·内维尔
सुल्ताना ऱसीया	拉齊婭
1.4 वृत्तिसारूप्यमितरत्र …	榕亞屬
होय्सळवंशः	曷萨拉王朝
भारतीयलिपयः	婆罗米系文字
एडवर्ड बालियोल	爱德华·巴里奥
लवनीयम्	牛心番荔枝
कूर्मावतारः	俱利摩
चार्वाकदर्शनम्	顺世论
गोमतीनदी	戈默蒂河
कशेरुः	脊椎
लुईस नानी	蘭尼
मानवरहितविमानम्	無人航空載具
मुहम्मद इकबाल	穆罕默德·伊克巴勒
मुद्गः	绿豆
औरङ्गजेबः	奥朗则布
आणन्दमण्डलम्	阿南德县
नद्यावली विस्तारः च	世界河流列表
हुमायून्	胡马雍
श्रीगङ्गानगरम्	冈格阿纳加尔
शक्तिदेवी	提毗
२०१४ एशिया क्रीडाः	2014年亚洲运动会
है हे नदी	海河
हृषीकेशः	瑞诗凯诗
अ	次開央元音
सन्तूर् (वाद्यम्)	桑图尔
ज्	濁齒齦擦音
एजिकील् फ्रैएर्स्	伊齐基尔·弗里耶斯
मडगांव	马尔加奥
अकोलामण्डलम्	阿科拉縣
गदग	加达格-贝蒂盖里
अर्कसस्यम्	牛角瓜
आजमगढ-नगरम्	阿扎姆加尔
रीवामण्डलम्	雷瓦縣
दक्षिणदिनाजपुर-मण्डलम्	南迪奈普县
सबाधधावनम्	跨欄
झालावाड	贾拉瓦尔
दक्षिणभारतम्	印度南部
कगायान	卡加延河
हुगलिमण्डलम्	胡格利區
प्राचीनगोवा	果阿旧城
बि.के.एस्. अय्यङ्गार्	艾扬格
दिङ्नागः	陳那
भरतपुरम्	珀勒德布爾
झार्सुगुड मण्डलम्	賈蘇古達縣
कदम्बः	团花
वडोदरामण्डलम्	巴罗达县
उत्तरकन्नडमण्डलम्	北卡納達縣
औराद	奥拉德
अलीराजपुरम्	阿利拉杰普尔
औरैया	奥赖耶
वैश्विकहस्तक्षालनदिनम्	世界洗手日
अक्बरपुरम्, रमाबायीनगरम्	阿克巴尔普尔
अथणी (कर्णाटकम्)	阿特尼
उडुपीमण्डलम्	乌杜皮
अम्रोहा	阿姆罗哈
बलियामण्डलम्	巴利亞縣
आनॆकल्	阿内卡尔
बदरीनाथः	巴德里纳特普里
अल्मोडा	阿尔莫拉
अमरकण्टक	阿马尔卡恩塔克
अनूपपुरम्	阿努普尔
अशोकनगरम्	阿斯霍克纳加尔
अमरेली	安雷利
अम्बाजी (आरासुर)	阿姆巴吉
एडवर्ड ८	爱德华八世
अरोविले	黎明之村
बादामी	巴达米
मैसूरुमण्डलम्	邁索爾縣
औरङ्गाबादमण्डलम्	奧蘭賈巴德縣
बुरहानपुरम्	布尔汉普尔
पन्ना	帕纳
न्यायदर्शनम्	正理论
राजसमन्दमण्डलम्	拉吉薩曼德縣
सिन्धुलिपिः	印度河文字
भारतीयमानकसमयः	印度標準時間
कुसुमकन्दरराष्ट्रियोद्यानम्	楠达戴维山国家公园和花谷国家公园
आग्रामण्डलम्	阿格拉縣
सोनभद्रमण्डलम्	松巴得拉縣
रमाबायीनगरमण्डलम्	拉馬拜那加爾縣
पश्चिमसिक्किममण्डलम्	西錫金縣
बलरामपुरम्	巴尔拉姆普尔
अनुस्वारः	隨韻
कन्नौज	卡瑙杰
सेवफलरसः	蘋果汁
श्योपुरमण्डलम्	謝奧布爾縣
अङ्गुली	手指
उमरियामण्डलम्	烏馬里亞縣
होशङ्गाबादमण्डलम्	霍桑賈巴德縣
होशङ्गाबाद	霍斯杭格阿巴德
भारतीयप्रौद्योगिकसंस्थानानि (IIT)	印度理工學院
बागपत्	巴格帕特
अरावली	阿拉瓦利嶺
कन्नौजमण्डलम्	卡瑙傑縣
साबरमतीनदी	薩巴爾馬蒂河
दीव	迪乌
जबलपुरमण्डलम्	賈巴爾普爾縣
तुवरी	木豆
बाराबङ्कीमण्डलम्	巴拉班基縣
बांसवाडा	班斯瓦拉
बैलहोङ्गल्	拜尔洪格阿尔
बहरैच्	巴赫赖奇
बागेश्वरम्	巴盖斯赫瓦尔
कारैकलमण्डलम्	卡来卡县
पाण्डीचेरीनगरम्	本地治里市
बालाघाट	巴拉加特
बालाघाटमण्डलम्	巴拉加特縣
एलिफेण्टागुहाः	象岛石窟
शुङ्गवंशः	巽伽王朝
वैशेषिकदर्शनम्	胜论
फीरोजपुर	菲奥兹普尔
कूष्माण्डम्	冬瓜
रतलाम	勒德蘭
श्रीरङ्गपट्टणम्	斯赫里朗格阿帕特塔纳
सिर्मौरमण्डलम्	斯爾毛縣
स्थिरवलयलम्	吊环
खोर्धा मण्डलम्	科爾達縣
वेष्ट्-इण्डीस्	加勒比地区
देहलीविश्वविद्यालयः	德里大学
मसूरी	穆索里
तापीमण्डलम्	塔皮縣
बून्दीमण्डलम्	奔迪縣
श्रीकाकुलम्	斯里卡库拉姆
जोग जलपातः	乔格法尔尔斯
हेन्री ७	亨利七世 (英格兰)
तेलङ्गाणाराज्यम्	特伦甘纳邦
पिप्पली	荜拔
भद्रक् मण्डलम्	巴德拉克縣
युग्मदण्डम्	双杠
नान्देडमण्डलम्	楠德拉縣
उत्तरदेहलीमण्डलम्	北德里
मौण्ट् अबु	莫乌恩特阿布
संसद्‍ (भारतम्)	印度议会
तापीनदी	达布蒂河
बसवनबागेवाडी	巴萨瓦纳巴盖瓦迪
बसवकल्याणम्	巴萨瓦卡尔延
वराहमूल	巴拉穆拉
औदुम्बरवृक्षः	聚果榕
बस्ति, उत्तरप्रदेशः	巴斯提縣
वाल्मीकिः	蚁垤
इक्षुरसः	甘蔗汁
शाल्मलिः	木棉属
गुरुवायूर्	古鲁瓦约奥尔
दाण्डेली अभयारण्यम्	丹德利
काङ्ग्रामण्डलम्	坎格拉縣
बिम्बफलम्	红瓜
ऋग्वेदः	梨俱吠陀
देवरियामण्डलम्	迪奧里亞縣
केदैञै	凱代尼艾
विनोद खोसला	維諾德·柯斯拉
चन्द्रशेखर आजाद	錢德拉·謝卡爾·阿扎德
केदारनाथः	凯达尔纳特
प्राचीनज्योतिषम्	印度占星學
फलकम्:Cite book	哈佛参考文献格式
डुङ्गरपुरम्	东格阿尔普尔
काव्यविमर्शः	新批評
इन्दौरमण्डलम्	印多爾縣
अश्वारोहक्रीडा	布玆卡兹
कटनीमण्डलम्	卡特尼縣
पुष्करनगरम्	普斯赫卡尔
भारतस्य सूर्यमन्दिराणि	科纳尔克
मामितमण्डलम्	马米特县
कोणार्कमन्दिरम्	科纳克太阳神庙
रीस ब्राउन	里斯·布朗
बाङ्गलालिपिः	孟加拉文
अन्ताराष्ट्रिय-साक्षरतादिनम्	国际扫盲日
अशोकवृक्षः	無憂樹
अत्रिः	阿低利
भद्राचलम्	巴德拉恰拉姆
बेतिया	贝特蒂亚
अनन्तपुरम् (आन्ध्रप्रदेशः)	阿纳恩塔普尔
भीलवाडा	皮爾瓦拉
बेलूरु	贝鲁尔
हावेरीमण्डलम्	哈韋里縣
अलिगढमण्डलम्	阿里格爾縣
तळाजा	塔拉贾
सिन्धुदुर्गमण्डलम्	辛杜杜爾格縣
तैत्तिरीयोपनिषत्	鹧鸪氏奥义书
नैनिताल	奈尼塔尔
गंजम् मण्डलम्	甘賈姆縣
रमोन् मैग्सेसे-पुरस्कारः	拉蒙·麦格塞塞奖
