Աֆրիկա	非洲
Օտտավա շրջան (Կանզաս)	渥太華縣 (堪薩斯州)
Հոջման շրջան (Կանզաս)	霍治曼縣 (堪薩斯州)
Ջոնսոն շրջան (Կանզաս)	約翰遜縣 (堪薩斯州)
Ֆրանկլին շրջան (Կանզաս)	富蘭克林縣 (堪薩斯州)
(8574) Մակոտոիրի	小行星8574
Օսեյջ շրջան (Կանզաս)	歐塞奇縣 (堪薩斯州)
Գրինվուդ շրջան (Կանզաս)	格林伍德縣 (堪薩斯州)
Հարվի շրջան (Կանզաս)	哈維縣 (堪薩斯州)
Սեջուիք շրջան (Կանզաս)	塞奇威克县 (堪萨斯州)
Սամներ շրջան (Կանզաս)	索姆奈縣 (堪薩斯州)
Ռասել շրջան (Կանզաս)	拉塞爾縣 (堪薩斯州)
Հոպեգարտեն	霍佩加尔滕
(2550) Հուսայ	小行星2550
Կինոստուդիա	电影制片厂
Հարշադի թվեր	哈沙德數
(20584) Բրիջիտսավաժ	小行星20584
(9257) Կունիսուկե	小行星9257
Լիհուլա (քաղաք, Էստոնիա)	利胡拉
(5662) Վենդիկալվին	小行星5662
Կյանքի որակի ցուցանիշ	最佳出生地指数
Սահարայի Արաբական Դեմոկրատական Հանրապետության դրոշ	撒拉威阿拉伯民主共和國國旗
(6598) Մոդուգնո	小行星6598
Սկլերենքիմ	厚壁组织
Ֆինի շրջան (Կանզաս)	芬尼縣 (堪薩斯州)
Ուայանդոտ շրջան (Կանզաս)	懷恩多特縣 (堪薩斯州)
Սաբինա Բաբաևա	薩比娜·巴巴葉瓦
(8395) Ռեմբաուտ	小行星8395
Մեդալիոն (ֆիլմ, 2003)	飛龍再生
Գրանտ շրջան (Կանզաս)	格蘭特縣 (堪薩斯州)
Պորկունա	波尔库纳
(8025) Ֆորեսթպետերսոն	小行星8025
(9029) 1989 GM	小行星9029
Ստորին պալատ	下議院
Սալին շրջան (Կանզաս)	薩林縣 (堪薩斯州)
Նիոշո շրջան (Կանզաս)	尼歐肖縣 (堪薩斯州)
Գով շրջան (Կանզաս)	戈夫縣 (堪薩斯州)
Սմիթ շրջան (Կանզաս)	史密斯縣 (堪薩斯州)
Քարնի շրջան (Կանզաս)	卡尼縣 (堪薩斯州)
Սկոտ շրջան (Կանզաս)	斯科特縣 (堪薩斯州)
Լին շրջան (Կանզաս)	林縣 (堪薩斯州)
Էլսվորթ շրջան (Կանզաս)	埃爾斯沃思縣 (堪薩斯州)
Ալմենդարա դե Ադախա	阿尔梅纳拉德亚达哈
Էլիս շրջան (Կանզաս)	埃利斯縣 (堪薩斯州)
Ատչիսոն շրջան (Կանզաս)	艾奇遜縣 (堪薩斯州)
Բարտոն շրջան (Կանզաս)	巴頓縣 (堪薩斯州)
Ռայս շրջան (Կանզաս)	賴斯縣 (堪薩斯州)
Բարբեր շրջան (Կանզաս)	巴伯縣 (堪薩斯州)
Հորացի Թուտլ	賀拉斯·帕內爾·塔特爾
Քլեյ շրջան (Կանզաս)	克莱县 (堪萨斯州)
Չեյս շրջան (Կանզաս)	蔡斯縣 (堪薩斯州)
Իրիոմոտյան կատու	西表山貓
Դեկատուր շրջան (Կանզաս)	第開特縣 (堪薩斯州)
Խնուս	赫訥斯
Բրաուն շրջան (Կանզաս)	布朗縣 (堪薩斯州)
(7873) Բոլլ	小行星7873
Քոֆի շրջան (Կանզաս)	科菲縣 (堪薩斯州)
HTML գույներ	网页颜色
Քլաուդ շրջան (Կանզաս)	克勞德縣 (堪薩斯州)
Շոտաքուա շրջան (Կանզաս)	學托擴縣 (堪薩斯州)
Քոուլի շրջան (Կանզաս)	考利縣 (堪薩斯州)
(6048) 1991 UC1	小行星6048
Շայեն շրջան (Կանզաս)	夏延縣 (堪薩斯州)
Բատլեր շրջան (Կանզաս)	巴特勒縣 (堪薩斯州)
Ռեպուբլիք շրջան (Կանզաս)	里帕布利克縣 (堪薩斯州)
Էլկ շրջան (Կանզաս)	艾克縣 (堪薩斯州)
Խուան Կարլոս Վասմոսի	胡安·卡洛斯·瓦斯莫西
Ալեն շրջան (Կանզաս)	艾倫縣 (堪薩斯州)
Դիկենսոն շրջան (Կանզաս)	迪金森县 (堪萨斯州)
Բուրբոն շրջան (Կանզաս)	波旁縣 (堪薩斯州)
Քրոուֆորդ շրջան (Կանզաս)	克勞福德縣 (堪薩斯州)
Չերոկի շրջան (Կանզաս)	切羅基縣 (堪薩斯州)
Քոմանչի շրջան (Կանզաս)	科曼奇縣 (堪薩斯州)
(6918) Մանասլու	小行星6918
Դոնիֆան շրջան (Կանզաս)	多尼芬縣 (堪薩斯州)
Քլարկ շրջան (Կանզաս)	克拉克縣 (堪薩斯州)
Էդվարդս շրջան (Կանզաս)	愛德華茲縣 (堪薩斯州)
Ռաշ շրջան (Կանզաս)	拉什縣 (堪薩斯州)
Կարինի նահանգ	埃尔祖鲁姆省
Մակ-Ֆերսոն շրջան (Կանզաս)	麥克弗森縣 (堪薩斯州)
Թումբս շրջան (Ջորջիա)	圖姆斯縣 (喬治亞州)
Միտչել շրջան (Կանզաս)	米切爾縣 (堪薩斯州)
(7686) Վոլֆերնստ	小行星7686
PHP արտոնագիր	PHP许可证
Լեյն շրջան (Կանզաս)	雷恩縣 (堪薩斯州)
Բելեմ (Լիսաբոն)	贝伦区
Լինկոլն շրջան (Կանզաս)	林肯縣 (堪薩斯州)
Ուաբոնսի շրջան (Կանզաս)	沃邦西县 (堪萨斯州)
Ալեքսանդր Գոլդենվեյզեր	亞歷山大·哥登懷瑟
Փոտավատոմի շրջան (Կանզաս)	波特瓦特米縣 (堪薩斯州)
Բեյքեր շրջան (Ջորջիա)	貝克縣 (喬治亞州)
Մարշալ շրջան (Կանզաս)	馬歇爾縣 (堪薩斯州)
Գրին շրջան (Իլինոյս)	格林縣 (伊利諾伊州)
Սթանտոն շրջան (Կանզաս)	斯坦頓縣 (堪薩斯州)
Ջեքսոն շրջան (Կանզաս)	杰克逊县 (堪萨斯州)
Ասորիներ	亚述人
Լիերգանես	列尔加内斯
Սյուարդ շրջան (Կանզաս)	蘇厄德縣 (堪薩斯州)
Գրիլի շրջան (Կանզաս)	格里利縣 (堪薩斯州)
Գիրի շրջան (Կանզաս)	吉里縣 (堪薩斯州)
Համիլտոն շրջան (Կանզաս)	漢密爾頓縣 (堪薩斯州)
Նորտոն շրջան (Կանզաս)	諾頓縣 (堪薩斯州)
Հարպեր շրջան (Կանզաս)	哈珀縣 (堪薩斯州)
Մորտոն շրջան (Կանզաս)	莫頓縣 (堪薩斯州)
Անդերսոն շրջան (Կանզաս)	安德森縣 (堪薩斯州)
(5961) Վատտ	小行星5961
Վինիլացետատ	乙酸乙烯酯
(2430) Բրյուս Հելին	小行星2430
Սինայ (լեռ)	西奈山
Գեղեցիկ արվեստների թագավորական թանգարան (Բելգիա)	比利时皇家美术博物馆
(8781) Յուրկա	小行星8781
Խոսրով (այլ կիրառումներ)	库思老
Կյոնիգսդորֆ (Բավարիա)	柯尼希斯多夫
(5958) Բարանդե	小行星5958
Վալվերդե դե Մերիդա	巴尔韦尔德德梅里达
Էլեկտրադինամիկա	经典电磁学
Փլեզանտս շրջան (Արևմտյան Վիրջինիա)	普萊森茲縣 (西維吉尼亞州)
Ֆարախան	法拉汉
Բայկալ-Ամուրյան երկաթուղային մայրուղի	貝阿鐵路
Ոստիկանական պատմություն 2	警察故事續集
(3855) Պասասիմֆոնիա	小行星3855
(6488) Դրեբախ	小行星6488
Էդվին Լաչենս	埃德溫·魯琴斯
Whitespace	Whitespace
Մյոթինգեն	默廷根
(4686) Մայսիկա	小行星4686
Խոսե Մարիա Մորելոս	何塞·玛丽亚·莫雷洛斯
Վավերագրագիտություն	古代文献学
Գրինի ֆունկցիա	格林函數
Մերիոն շրջան (Իլինոյս)	馬里昂縣 (伊利諾伊州)
(9985) Ակիկո	小行星9985
Միտելնոյֆնախ	米特尔诺伊夫纳
Լի Խուն Չժան	李鴻章
Մոնտգոմերի շրջան (Փենսիլվանիա)	蒙哥馬利縣 (賓夕法尼亞州)
(6271) Ֆարմեր	小行星6271
(4657) Լոպես	小行星4657
Մտավոր տարիք	心智年龄
Նալեկ	纳莱克
(6884) Տակեշիսատո	小行星6884
Լորձնասնկեր	黏菌
(5412) Ռոու	小行星5412
(3151) Տալբոտ	小行星3151
(9034) Օլեյուրիա	小行星9034
Բադ Կոլգրուբ	巴特科尔格鲁布
(7441) Լասկա	小行星7441
Կալիումի գերօքսիդ	过氧化钾
Ուուդսոն շրջան (Կանզաս)	伍德森縣 (堪薩斯州)
Նեմահա շրջան (Կանզաս)	尼馬哈縣 (堪薩斯州)
Լեոնիդ Կոգան	列奥尼德·柯岗
Գրեյ շրջան (Կանզաս)	格雷縣 (堪薩斯州)
Ռենո շրջան (Կանզաս)	里諾縣 (堪薩斯州)
Լիվենվորթ շրջան (Կանզաս)	萊文沃思縣 (堪薩斯州)
Քիովա շրջան (Կանզաս)	凱厄瓦縣 (堪薩斯州)
Ռուկս շրջան (Կանզաս)	魯克斯縣 (堪薩斯州)
Լուի Էժեն Կավենյակ	路易-欧仁·卡芬雅克
Արգանիա	摩洛哥坚果
Մաթիա Դե Շիլյո	马蒂亚·德西利奥
Էլեմենտ (մաթեմատիկա)	元素 (數學)
Պենթիսլեյա	彭忒西勒亚
Թոնիր	馕坑
Դաս	課堂
Տետրոդոտոքսին	河豚毒素
Լոս Ալամոսի Ազգային Լաբորատորիա	洛斯阿拉莫斯国家实验室
Կենտրոնական պայմանագրի կազմակերպություն	中部公約組織
Ով է դավել Ռոջեր ճագարին	谁陷害了兔子罗杰
Կալիումի կարբոնատ	碳酸钾
Պարագաներ	狀語
Մակբայ	副詞
Կիրի Տե Կանավա	奇里·特·卡娜娃
Սերմնասկզբնակ	胚珠
Պորտուգալիայի վարչական բաժանում	葡萄牙行政區劃
Ինոկենտի Սմոկտունովսկի	因諾肯季·米哈伊洛維奇·斯莫克圖諾夫斯基
Բժշկության պատմություն	医学史
Ադելի անօրինակ արկածները	阿黛拉的非凡冒险
Մայք Միլլեր	迈克·米勒
Տեսամագնիտոֆոն	錄影機
Աեգվիիդու (քաղաքատիպ ավան, Աեգվիիդու շրջան)	埃格维杜乡
Կորպորատիվ կառավարում	公司治理
Գերագույն գլխավոր հրամանատար	總司令
Ադոնիս (բանաստեղծ)	阿里·艾哈迈德·赛义德·伊斯比尔
Հովհաննես Թումանյան	霍夫漢涅斯·圖曼揚
Ռիք Ֆոքս	里克·福克斯
Անտոնիո դե Նեբրիխա	安东尼奥·德·内夫里哈
Ջոնաթան Ուայլդ	強納生·威德
Անդրիս Բիեդրինշ	安德里斯·比耶德林斯
Արգիշտի Բ	阿尔吉什提二世
Կակինոմոտո Հիտոմարո	柿本人麻呂
Մատտիա Դեստրո	马蒂亚·德斯特罗
Կանետո Սինդո	新藤兼人
Ֆորսաժ 4	玩命關頭4
Երդում	宣誓
Սիմոնիդես Ամորգացի	西蒙尼特斯
Ճգնաժամ	危機
Բաժնետեր	股东
Մտավորականություն	知識階層
Վալոններ	瓦隆人
Մաղ	筛分
RQ-11 Րավեն	RQ-11渡鴉式無人偵察機
Համակցված կինոնկարահանում	特殊效果
Արցախյան ազատամարտ	纳戈尔诺-卡拉巴赫战争
Քերի-Հիրոյուկի Տագավա	田川洋行
Կովկասյան պատերազմ (1817-1864)	高加索戰爭
Կալասին (նահանգ)	加拉信府
Ջոշ Հովարդ	约什·霍华德
Մեն դը Բիրան	曼恩·德·比朗
Ֆիմոզ	包莖
(2095) Պարսիֆալ	小行星2095
Իիսակու (գյուղական ավան, Իիսակու շրջան)	伊薩庫
(3559) Վիոլամայեր	小行星3559
Մեթիլմետակրիլատ	甲基丙烯酸甲酯
Շոտլանդական վիսկի	蘇格蘭威士忌
Քրոուֆորդ շրջան (Միչիգան)	克勞福德縣 (密歇根州)
(3803) Տուչկովա	小行星3803
Հյուսիսարևմտյան դաշնային տարածաշրջան (ՌԴ)	西北部联邦管区
(7508) Իկե	小行星7508
Յասուջ	亞蘇季
Սևափոր դռլոն	黑腹沙鸡
(8175) Բոերհաավե	小行星8175
Basshunter	低频猎人
(2416) Շարոնով	小行星2416
(9751) Կադոտա	小行星9751
Հանգստի պոտենցիալ	静息电位
(2474) Ռուբի	小行星2474
Դե Սոտո շրջան (Լուիզիանա)	德索托堂区 (路易斯安那州)
Բեխիխար	贝希哈尔
(6478) Գաուլտ	小行星6478
Խիմոտրիպսին	胰凝乳蛋白酶
Ֆուենտես դե Անդալուսիա	丰特斯德亚恩达卢西亚
(3128) Օբրուչև	小行星3128
Օգելսհաուզեն	奥格尔斯豪森
Պայթուցիկ նամակ	郵包炸彈
(3486) Ֆուլչինյոնի	小行星3486
(6118) 1986 QX3	小行星6118
(6201) Իչիրոշիմիզու	小行星6201
Աֆրիկական թագուհին	非洲女王号
Գլոբալ էկոլոգիական հիմնադրամ	全球环境基金
Կառլովի Վարի	卡罗维发利
Յորք շրջան (Հարավային Կարոլինա)	約克縣 (南卡羅萊納州)
Սան Վիսենտե դե լա Բարկերա	圣比森特德拉瓦尔克拉
Ավանդապահ գրադարան	法定送存
Վարանգեր ֆիորդ	瓦朗厄爾峽灣
(7263) Տակայամադա	小行星7263
(7048) Չաուսիդոն	小行星7048
Չաթհամ շրջան (Ջորջիա)	查塔姆縣 (喬治亞州)
(6164) Գերհարդմալլեր	小行星6164
(7377) Պիզարելո	小行星7377
Նախաբեմ	镜框式舞台
Սեսիլ շրջան (Մերիլենդ)	塞西尔县 (马里兰州)
Շինարարություն	建築工地
(9538) 1982 UM2	小行星9538
Կուտար	库塔尔
(5101) Ախմերով	小行星5101
Լյուդվիգսլուստ (շրջան)	路德维希斯卢斯特县
Վերինգեն	韦林根
(8549) Ալցիդե	小行星8549
Դրուժբա (քաղաք, Ուկրաինա)	德魯日巴 (烏克蘭)
Ֆրանկլին շրջան (Ջորջիա)	富蘭克林縣 (喬治亞州)
(8085) 1989 CD8	小行星8085
Բիրյուսա (գետ)	比留薩河
(3927) Ֆելիցիապլատ	小行星3927
Օլիվեր	奥利弗
Վաշինգտոն շրջան (Այովա)	華盛頓縣 (愛阿華州)
Տոկիո Հոթել	東京飯店酷兒
Օտոմո Տաբիտո	大伴旅人
(2734) Հաշեկ	小行星2734
Լարդերո	拉尔德罗
Օտոմո Յակամուտի	大伴家持
Միդիաներ	贻贝
Շահրեկորդ	沙赫爾庫爾德市
Բանկիրի ալգորիթմ	银行家算法
(9009) Տիրսո	小行星9009
Հիրուդին	水蛭素
(1963) Բեզովեց	小行星1963
Բորիս Գոդունով (օպերա)	鲍里斯·戈杜诺夫 (歌剧)
Էմանուել Ադեբայոր	埃曼纽埃尔·阿德巴约
(2584) Էուրքմենիա	小行星2584
Ֆլեգլեր շրջան (Ֆլորիդա)	弗萊格勒縣
Բաբադալ	巴巴達格
(5530) Էիսինգա	小行星5530
Շլի շրջան (Ջորջիա)	施萊縣 (喬治亞州)
(6059) 1979 TA	小行星6059
(6564) Աշեր	小行星6564
(6526) Մատոգավա	小行星6526
(9548) Ֆորտրան	小行星9548
Թեռեբոն շրջան (Լուիզիանա)	泰勒博恩堂区 (路易斯安那州)
(7435) Սագամիհարա	小行星7435
Շաբրան (քաղաք)	迪維奇
Գալատին շրջան (Մոնտանա)	加拉廷縣 (蒙大拿州)
(8798) Տարանտինո	小行星8798
Շահբուզի շրջան	沙赫布茲區
Լվեր	跳蚤
Աստերոիդների ցանկ (10701-10800)	小行星列表/10701-10800
Շամախի	沙馬基
Ազգի գանձերը. գաղտնիքների գիրքը	國家寶藏：古籍秘辛
(3113) Չիժևսկիյ	小行星3113
Ուռհայի նահանգ	尚勒乌尔法省
Մեխանիկ (ֆիլմ, 2011)	極速秒殺
(5620) Ջեյսոնվելեր	小行星5620
(9290) 1981 TT	小行星9290
Լեյրդամ	莱尔丹
Լուսնոտություն	梦游症
Շապին Գարահիսար	謝賓卡拉希薩爾
(2251) Տիխով	小行星2251
Պրեմիեր Լիգա 2012-13 (Անգլիա)	2012–13賽季英格蘭超級聯賽
Ատլանտականություն	大西洋主義
(790) Պրետորիա	小行星790
Ինչպես վախկոտ Ռոբերտ Ֆորդը սպանեց Ջեսսի Ջեյմսին	叛逆暗殺
Շուշիի շրջան (Ադրբեջան)	舒沙區
Մետալուրգ Դոնեցկ (ֆուտբոլային ակումբ)	頓涅茨克冶金工人足球俱樂部
Ալգարինեխո	阿尔加里内霍
Թովուզի շրջան	塔烏茲區
Տրապիզոն (նահանգ)	特拉布宗省
(3406) Օմսկ	小行星3406
Իոնափոխանակման ռեակցաներ	離子交換
Էլ Մոնտմել	埃尔蒙特梅利
(6538) Մուրավյով	小行星6538
(6259) Մայլոլ	小行星6259
Ուայթ շրջան (Ջորջիա)	懷特縣 (喬治亞州)
Ղազախի շրջան	哈薩克區
Մարսագնաց	火星车
(7093) Ջոնլիկե	小行星7093
(7319) Կատերֆելդ	小行星7319
(4719) Բարնաբի	小行星4719
Ջենկինս շրջան (Ջորջիա)	詹金斯縣
(7451) Վերբիցկայա	小行星7451
Հունահռոմեական ըմբշամարտ	古典式摔跤
Վիլյասեկսմիր	比利亚塞斯米尔
Աքեմենյան պետություն	阿契美尼德王朝
(8952) ODAS	小行星8952
Ստվարաթուղթ	纸板
Ջոնսոն շրջան (Իլինոյս)	約翰遜縣 (伊利諾伊州)
(8029) Միլտթոմպսոն	小行星8029
Պլանետեզեմալ	微行星
(4995) Գրիֆին	小行星4995
Լոյտերսհաուզեն	洛伊特尔斯豪森
(8289) Էն-Իֆյե	小行星8289
(2104) Տորոնտո	小行星2104
Հովվերգություն	牧歌
Միսիեսես դե Օխեդա	米希耶塞斯德奥赫达
(6265) 1985 TW3	小行星6265
Յորք շրջան (Մեն)	約克縣 (緬因州)
Գհագհրա	格爾納利河
Հյուսիսային Լիբանան (պրովինցիա)	北部省 (黎巴嫩)
Բրանի ամրոց	布兰城堡
The Miracle	The Miracle
(3824) Բրենդալի	小行星3824
Չեխիայի վարչապետների ցանկ	捷克总理
Սերբիան Եվրատեսիլ երգի մրցույթում	塞尔维亚在欧洲歌唱大赛之历年表现
Շամխոր	沙姆基爾
(6747) Օզեգահարա	小行星6747
(6748) Բրատտոն	小行星6748
(6839) Օզենումա	小行星6839
(6837) Բրեսի	小行星6837
Շարուրի շրջան	沙魯爾區
Աստծո ասպազենք 3. Չինական կենդանակերպի նշաններ	十二生肖 (電影)
Հայաստանի ֆուտբոլի ֆեդերացիա	亞美尼亞足球總會
Բանսկո	班斯科
Հարավարևմտյան դիվիզիոն (ԲԱԱ)	NBA西南赛区
Imagine Dragons	謎幻樂團
Մետալուրգ Ռուսթավի (ֆուտբոլային ակումբ)	鲁斯塔维金属足球俱乐部
Սչաստիե (քաղաք, Ուկրաինա)	夏斯季耶
Շերլոկ Հոլմսի արկածները (հավաքածու)	冒险史
Ավետարան ըստ Մատթեոսի	馬太福音
Գուրզ	棍棒
Արիստես	阿瑞斯泰俄斯
Սան Ֆրանցիսկոյի պայմանագիր	舊金山和約
Օրակարգի սահմանում	議題設定
Աստերոիդների դաս O	O-型小行星
Օսկար լավագույն վիզուալ էֆեկտների համար	奧斯卡最佳視覺效果獎
Նառվա (ծովածոց)	納爾瓦灣
Բենի Սուեյֆ	貝尼蘇韋夫
Ագորա (ֆիլմ)	城市广场 (电影)
Ակոս	犁溝報
Գյուղատնտեսական ավիացիա	农用飞机
Գարսիա (Իսպանիա)	加西亚
Բալատոն (այլ կիրառումներ)	鲍洛通
Կառլ X (այլ կիրառումներ)	查理十世
Ջոն	約翰
Բենկովաց	本科瓦茨
Բուդդհի	智性 (印度教)
Բելի Մանաստիր	貝利馬納斯蒂爾
This Is It (այլ կիրառումներ)	This Is It
Ագիլար դե Կամպո	阿吉拉尔德坎波奥
Փիլիրա	菲呂拉
Սալվատիեռա	萨尔瓦铁拉
Հովարդ շրջան (Մերիլենդ)	霍華德縣 (馬里蘭州)
Բելիշցե	貝利什切
Բիոգրադ նա Մորու	比奧格勒納莫魯
Հինդու (այլ կիրառումներ)	信德
Դորամա	日本电视剧
Ահալի վելայաթ	阿哈爾州
Աշխարհառազմավարական կետ	咽喉點
Ամերիկյան բոլոր ժամանակների ֆիլմերի 100 լավագույն խոսքեր	AFI百年百大电影台词
Ահարոնով-Բոհմի էֆեկտ	阿哈罗诺夫－玻姆效应
(6749) Իռինտյե	小行星6749
300 սպարտացիներ. Կայսրության ծաղկումը	300勇士：帝国崛起
Խլաթ	阿赫拉特
Քրիտենդեն շրջան (Կենտուկի)	克里坦登縣 (肯塔基州)
Էլիոտ շրջան (Կենտուկի)	埃利奧特縣 (肯塔基州)
Դեյվիես շրջան (Կենտուկի)	戴維斯縣 (肯塔基州)
Արիարաթես	阿里阿拉特
Ահմադ Շաուկի	艾哈迈德·邵基
Կոլումբիական սարավանդ	哥伦比亚高原
Ֆորսաժ 5	玩命關頭5
Ստիվենս շրջան (Կանզաս)	史蒂文斯縣 (堪薩斯州)
Նամակներ Ջուլիետին	給茱麗葉的信
(9515) Դանբեր	小行星9515
Բենգալացիներ	孟加拉族
Աբխազիայի օրհներգ	胜利 (歌曲)
Դումա (քաղաք)	杜馬 (敘利亞)
(6151) Վիգետ	小行星6151
? (այլ կիրառումներ)	? (消歧義)
Այդլինգեն	艾德林根
Կազանի Աստվածամոր տաճար (Սանկտ Պետերբուրգ)	喀山主教座堂 (圣彼得堡)
Էյկեն շրջան (Հարավային Կարոլինա)	艾肯縣 (南卡羅萊納州)
Պեկինյան բադ (ուտեստ)	北京烤鸭
Էլ Ջահրա (պրովինցիա)	傑赫拉省
Կլիսուրա	克利蘇拉
Այնրինգ	艾因灵
Կրեսնա	克雷斯納
Յակորուդա	亞科魯達
Բելիցա	貝利察
Ուբիքվիտին	泛素
Ֆենոլներ	酚
Գաստրին	胃泌素
Պոլիցիկլիկ արոմատիկ ածխաջրածիններ	多環芳香烴
Լյումինալ	苯巴比妥
Վանադինիտ	钒铅矿
Կալցիումի սուլֆատ	硫酸钙
Կուպրիտ	赤銅礦
Դոբրոնիշտե	多布里尼什特
Մենթոլ	薄荷醇
Զոոկումարին	华法林
Նատրիումի սուլֆիդ	硫化钠
Արծաթի բրոմիդ	溴化銀
Սեուլի մայրաքաղաքային տարածաշրջան	韩国首都圈
Վալերիանաթթու	戊酸
Նատրիումի սուլֆիտ	亚硫酸钠
Նատրիումի բորհիդրիդ	硼氢化钠
Նատրիումի հիդրիդ	氢化钠
Կլոնազեպամ	氯硝西泮
Ինոզիտ	肌醇
Զոման	梭曼
Ենոլներ	烯醇
Խինոլին	喹啉
Սուլֆօքսիդներ	亚砜
Կալցիումի սուլֆիդ	硫化钙
Խիտոզան	壳聚糖
Թուղթ առ Եփեսացիս	以弗所書
Կալիումի սուլֆիդ	硫化钾
Ազիդաջրածնական թթու	疊氮酸
Տերեֆթալաթթու	对苯二甲酸
Մարկազիտ	白铁矿
Կառնոտիտ	釩酸鉀鈾礦
Թրոմբին	凝血酶
Էթիլբենզոլ	乙苯
Միաքլորամին	氯胺
Կապրոլակտամ	己内酰胺
Տետրիլ	特屈儿
Կումոլ	异丙苯
Կերարգիրիտ	角銀礦
Գերանիոլ	香叶醇
Օրեքսին	食慾素
Մուցիններ	黏液素
Դիֆենիլ	联苯
Այտրանգ	艾特朗
Բորի օքսիդ	三氧化二硼
Նատրիումի հիդրոսուլֆատ	硫酸氢钠
Ալլեններ	累积二烯烃
Սուլֆանիլամիդներ	磺胺类药物
Վիրաժ	Turn
Աջենգ	牙箏
Գլոբին	珠蛋白
Դիֆենիլամին	二苯胺
Սկատոլ	糞臭素
Իզոքինոլին	异喹啉
Սիլիցիումի կարբիդ	碳化硅
Յոդոֆորմ	三碘甲烷
Ֆուրֆուրոլ	糠醛
Հիպուրաթթու	馬尿酸
Սիլիցիումի տետրաֆտորիդ	四氟化硅
Կարակուլ	卡拉庫爾
Հիդրօքսիթթուներ	果酸
Կալցիումի ֆտորիդ	氟化钙
Տիտանի (Ⅳ) քլորիդ	四氯化钛
Կրեզոլներ	甲酚
Ղրղզստանի օրհներգ	吉爾吉斯共和國國歌
Կարնոզին	肌肽
Նատրիումի հիդրոսուլֆիդ	硫氢化钠
Ակադեմիկոս	院士
Նատրիումի սալիցիլատ	水杨酸钠
Նատրիումի բրոմատ	溴酸钠
Կատեխիններ	儿茶素
Ցիկլոբութադիեն	环丁二烯
Դեկալին	十氢化萘
Բազմատոմ սպիրտներ	多元醇
Ակեբիա	木通属
Ֆենիլացետիլեն	苯乙炔
Կալիումի ֆերատ	高铁酸钾
Նատրիումի վոլֆրամատ	钨酸钠
Նատրիումի հեքսացիանոֆերատ(II)	亚铁氰化钠
Երազներ (ֆիլմ, 1990)	夢 (1990年電影)
Մագնիսական ռեզոնանս	磁共振
Հիդրոքինոն	对苯二酚
Ֆուքսին	品红 (化合物)
Սուրիկ (քիմիա)	四氧化三鉛
Նուկլեոպրոտեիդներ	核蛋白
Դիֆոսգեն	双光气
Միրաբիլիտ	芒硝
Ստանին	黝锡矿
Հիդրազիդներ	酰肼
Նատրիումի օքսալատ	草酸鈉
Նատրիումի պրոպիոնատ	丙酸钠
(5651) Տրավերսա	小行星5651
Տետրալին	四氢化萘
Կապի էներգիա	结合能
Գոթիկ (անիմե)	GOSICK
Միցելներ	胶束
Սոպոլիմերներ	共聚物
Օփիոիդային ընկալիչներ	阿片样肽受体
Կալցիումի կարբիդ	碳化钙
Գլիկոլներ	二元醇
Մալոնաթթու	丙二酸
Մոնացիտ	獨居石
Մեթիլենային կապույտ	亞甲藍
Խոլեցիստոկինին	膽囊收縮素
Սեկրետին	促胰液素
Նուկլեազներ	核酸酶
Կենսապոլիմերներ	生物聚合物
Ինդիգո	靛蓝
Տետրացիկլիններ	四环素类抗生素
Բորազոլ	环硼氮烷
Վինիլացետիլեն	乙烯基乙炔
Սիլիցիում օրգանական միացություններ	有机硅化学
Թիոէսթերներ	硫酯
Դիացետիլեն	丁二炔
Արական սեռական հորմոն	性类固醇
Պորֆիրին	卟啉
Ազոտային հիմքեր	核鹼基
Ֆերմենտի ակտիվ կենտրոն	活性位点
Հյուսվածքահամատեղելիության գլխավոր համալիր	主要组织相容性复合体
Կորտիզոն	可的松
Նովոկաին	普鲁卡因
Միավորված Արաբական Էմիրությունների օրհներգ	祖国万岁 (阿联酋)
Ֆթալաթթուներ	邻苯二甲酸
Մոլեկուլային շարժիչ	分子马达
Պապուասներ	巴布亚人
Սուր երիկամային անբավարարություն	急性腎損傷
Սուկցինիլխոլին	琥珀胆碱
Ազոտի օքսիդներ	氮氧化物
Գլյուկագոնանման պեպտիդ-1	胰高血糖素样肽-1
Կատալազ	过氧化氢酶
Պրեդնիզոլոն	强的松
Ռետինոլ	视黄醇
Օկտոպամին	章胺
Նատրիումի պիրոսուլֆատ	焦硫酸钠
Արծաթի ֆտորիդ (II)	二氟化银
Մագնեզիտ	菱鎂礦
Ստեարին	硬脂精
Ռեզուս գործոն	Rh血型系统
(3020) Նաուդց	小行星3020
(5613) Դոնսկոյ	小行星5613
Իգենսբախ	伊根斯巴赫
Դեյան	德阳市
(8537) Բիլլոչբուլ	小行星8537
Սավոյայի դքսություն	萨伏依公国
(2779) Մերի	小行星2779
Պադերնե (քաղաք)	帕德尔内
Գրանտ շրջան (Նյու Մեքսիկո)	格蘭特縣 (新墨西哥州)
(8742) Բոնազոլի	小行星8742
Մարս (այլ կիրառումներ)	Mars
Թրիպ շրջան (Հարավային Դակոտա)	特里普縣 (南達科他州)
Նեշոբա շրջան (Միսսիսիպի)	尼肖巴縣 (密西西比州)
Սիլիցիդներ	矽化物
Յուրեյ շրջան (Կոլորադո)	烏雷縣 (科羅拉多州)
Մեգեսհայմ	梅格斯海姆
