આફ્રિકા	非洲
એર ઈન્ડિયા ફ્લાઇટ ૧૮૨	印度航空182號班機空難
એર ઇન્ડિયા એક્સપ્રેસ	印度航空快運
અજમેર જિલ્લો	阿傑梅爾縣
કારેલું	苦瓜
સાંગલી	桑格利
લોપકચિહ્ન	撇号
અલવાર જિલ્લો	阿爾瓦爾縣
અમરનાથ (તીર્થધામ)	阿马尔纳特石窟
આંબેડકર નગર જિલ્લો	安倍德卡爾那加爾縣
ઝિટ્ટારા	IMI TAR-21突擊步槍
ફેડએક્સ	聯邦快遞
હસ્તિનાપુર	哈斯蒂纳普尔
સોલન	索兰
દમણ	达曼 (印度)
મહાબળેશ્વર	马哈巴莱斯赫瓦尔
માથેરાન	马泰兰
દાર્જીલીંગ હિમાલયન રેલ્વે	大吉嶺喜馬拉雅鐵路
સાયના નેહવાલ	塞娜·内维尔
પૂર્વ ઘાટ	東高止山脈
મીરા નાયર	米拉·奈兒
કેન્દ્રશાસિત પ્રદેશ	中央直辖区
વેરાઇઝન કમ્યુનિકેશન્સ	威訊
રામફળ	牛心番荔枝
કલ્કિ	迦樂季
વિશ્વકર્મા	毘首羯磨
નવરોઝ	纳吾肉孜节
શૈલી	類型 (藝術)
એશિયાઈ રમતોત્સવ	亚洲运动会
એલન શીયરર	阿兰·希勒
અનુકૂલન	適應
એલિસ ઇન ચેઇન્સ	爱丽丝囚徒
ગુરુ	上师
એન્ડ્રુ કાર્નેગી	安德鲁·卡内基
મગ	绿豆
ઇ-કોમર્સ	电子商务
ઔરંગઝેબ	奥朗则布
રાની મુખર્જી	拉妮·穆科吉
આણંદ જિલ્લો	阿南德县
હુમાયુ	胡马雍
દુનિયાની પ્રાચીન સાત અજાયબીઓ	古代世界七大奇迹
ગંગાનગર	冈格阿纳加尔
આંતલિયા	阿安塔利耶
અબ્રામા (જલાલપોર)	阿布拉马
મઊ	毛纳特班詹
ડી. ડબલ્યુ. સ્ટેડિયમ	DW球場
ચોળા	豇豆
અંતકડી	Antakshari
કાલિમપોંગ	噶倫堡
બ્રિટાનિયા સ્ટેડિયમ	不列顛尼亞球場
ઋષિકેશ	瑞诗凯诗
વર્ણકોષાશય	色素細胞
રાયડો	芥菜
દેશી કાગડો	家鴉
બકરી ઈદ	古尔邦节
પેરેન જિલ્લો	佩倫縣
વેરાવળ	韦拉瓦尔
વિશ્વ ક્ષય દિન	世界结核日
અકોલા જિલ્લો	阿科拉縣
ગડગ	加达格-贝蒂盖里
આંકડો (વનસ્પતિ)	牛角瓜
સિરસા જિલ્લો	斯爾薩縣
આઝમગઢ	阿扎姆加尔
રીવા જિલ્લો	雷瓦縣
રોનાલ્ડો	罗纳尔多
સુંદરવન	孙德尔本斯国家公园
બાવળ	阿拉伯膠
ગારીયાધાર	加里亚达尔
ઝાલાવાડ	贾拉瓦尔
મહી નદી	默希河
રાજૌરી જિલ્લો	拉朱里縣
લિમ્બો(પ્રોગ્રામિંગ ભાષા)	Limbo
ઉધઈ	白蟻
હુગલી જિલ્લો	胡格利區
સારાવાક ગુફા	砂拉越洞厅
જનરલ સામ માણેકશા	萨姆·马内克肖
ભરતપુર	珀勒德布爾
વિશ્વ મહાસાગરો દિવસ	世界海洋日
સેન્ટ મેરી સ્ટેડિયમ	聖瑪麗球場
દૂધરાજ	寿带鸟
કદંબ	团花
ક્રિકેટનું બૅટ	板球球棒
વડોદરા જિલ્લો	巴罗达县
ઉત્તર કન્નડ જિલ્લો	北卡納達縣
ગોલપારા	戈阿尔帕拉
લિબર્ટી સ્ટેડિયમ	自由球場
માલેગાંવ	馬萊岡
સાતારા	萨塔拉
અમદાવાદ કેન્ટોનમેન્ટ	阿赫梅达巴德恰恩托恩梅恩特
દહેગામ	达赫加姆
શીખ	锡克人
અતુલ	阿图尔
અંદાડા	阿恩达达
ઔરૈયા	奥赖耶
અકબરપુર	阿克巴尔普尔
વરોરા	瓦罗拉
ઉડ્ડપી	乌杜皮
અમરોહા	阿姆罗哈
એલેપ્પી	阿勒皮
નયાગઢ	纳耶加尔
અરાહ	阿拉 (印度)
બદ્રીનાથ	巴德里纳特普里
અલમોડા	阿尔莫拉
અનૂપપુર	阿努普尔
આંકલાવ	安克拉沃
અરિયાલુર	阿里耶卢尔
અમલનેર	阿马尔内尔
અમરેલી	安雷利
બગસરા	巴加萨拉
અંબાજી	阿姆巴吉
ફેક જિલ્લો	佩可縣
મૈસૂર જિલ્લો	邁索爾縣
ઔરંગાબાદ જિલ્લો	奧蘭賈巴德縣
બુરહાનપુર	布尔汉普尔
સિટી ગ્રાઉન્ડ	城市足球場
પન્ના	帕纳
પીલ ડિસ્ટ્રિક્ટ સ્કૂલ બોર્ડ	皮爾區教育局
રાજસમન્દ જિલ્લો	拉吉薩曼德縣
યાવલ	耶瓦尔
મલાગીર કસ્તુરો	橙头地鸫
કેશોદ	凯斯霍德
સરસ્વતી લિપિ	印度河文字
શ્યામમુખ વાઘોમડા	蓝脸鲣鸟
ભારતીય માનક સમય	印度標準時間
મધિયો	凤头蜂鹰
રાજાલાલ	赤红山椒鸟
વેલી ઓફ ફ્લાવર્સ રાષ્ટ્રીય ઉદ્યાન	楠达戴维山国家公园和花谷国家公园
આગ્રા જિલ્લો	阿格拉縣
સોનભદ્ર જિલ્લો	松巴得拉縣
કરનાલ જિલ્લો	卡爾納爾縣
તિરુવલ્લુર	蒂鲁瓦卢尔
કાંકેર	卡恩凯尔
કાનપુર દેહાત જિલ્લો	拉馬拜那加爾縣
પશ્ચિમ સિક્કિમ જિલ્લો	西錫金縣
છોટાઉદેપુર	奇霍塔乌代普尔
કૈથલ જિલ્લો	開塔爾縣
કન્નોજ	卡瑙杰
સોનાક્ષી સિંહા	索納絲·辛哈
એલેન્ડ રોડ	艾蘭路球場
ભુજ હવાઇમથક	普杰机场
કિંગ પાવર સ્ટેડિયમ	皇權球場
શ્યોપુર જિલ્લો	謝奧布爾縣
ઉમરિયા જિલ્લો	烏馬里亞縣
હોશંગાબાદ જિલ્લો	霍桑賈巴德縣
હોશંગાબાદ	霍斯杭格阿巴德
પ્રિફર્ડ સ્ટોક	優先股
બાગપત	巴格帕特
બાલાસિનોર	巴拉西诺尔
ઓનલાઈન વિજ્ઞાપન	网络广告
અરવલ્લી	阿拉瓦利嶺
કન્નોજ જિલ્લો	卡瑙傑縣
કે સી સ્ટેડિયમ	KC球場
સાબરમતી નદી	薩巴爾馬蒂河
જબલપુર જિલ્લો	賈巴爾普爾縣
તુવેર	木豆
બલાંગીર	巴朗格伊尔
વાંસવાડા	班斯瓦拉
બલ્લારપુર	巴拉尔普尔
દીમાપૂર જિલ્લો	迪馬浦爾縣
અરમાની	亞曼尼
બહરૈચ	巴赫赖奇
ગોડ્ડા જિલ્લો	高達縣
બાલેશ્વર	巴拉索尔
હિલ્સબોરો સ્ટેડિયમ	希爾斯堡球場
રાષ્ટ્રીય ધોરીમાર્ગ 1 (ભારત)	國道1號 (印度)
રાષ્ટ્રીય ધોરીમાર્ગ 1A (ભારત)	1A國道 (印度)
ઉજળો ગીધ	高山兀鹫
રાષ્ટ્રીય ધોરીમાર્ગ 5 (ભારત)	國道5號 (印度)
રાષ્ટ્રીય ધોરીમાર્ગ 3 (ભારત)	國道3號 (印度)
રાષ્ટ્રીય ધોરીમાર્ગ 4 (ભારત)	國道4號 (印度)
રાષ્ટ્રીય ધોરીમાર્ગ 2 (ભારત)	國道2號 (印度)
માઇક્રોસોફ્ટ ઓફિસ ૨૦૦૭	Microsoft Office 2007
ભિવંડી	皮文迪
એલિફન્ટાની ગુફાઓ	象岛石窟
રતલામ	勒德蘭
ખંભાતનો અખાત	坎贝湾
સિરમૌર જિલ્લો	斯爾毛縣
બાજરો	御穀
સિમ્બાદ (SIMBAD)	SIMBAD
સાધુ	苦行僧
છત્રપુર	恰特拉普尔
કોટ્ટયમ	科特塔耶姆
હીજડા	海吉拉
ખોર્ધા જિલ્લો	科爾達縣
કાંગડા	康格拉
લક્સ (સાબુ)	力士 (品牌)
મસૂરી	穆索里
તાપી જિલ્લો	塔皮縣
શ્રીકાકુલમ	斯里卡库拉姆
પદ્મવિભૂષણ	莲花赐勋章
માચુ પીચુ	马丘比丘
વિપશ્યના	觀 (佛教)
તેલંગાણા	特伦甘纳邦
ટ્રાન્સપોર્ટ ફોર લંડન	倫敦交通局
ટર્ફ મૂરે	摩亞球場
મહેન્દ્રગઢ જિલ્લો	馬亨德拉加爾縣
પક્ષી અવલોકન	观鸟
ભદ્રક જિલ્લો	巴德拉克縣
બાતુ ગુફાઓ (મલેશિયા)	黑風洞
વૃંદાવન	沃林达文
રિંગટોન	电话铃声
વિકેટ કીપર	三柱门防守员
માઉન્ટ આબુ	莫乌恩特阿布
ભારતીય સંસદ	印度议会
તાપી નદી	达布蒂河
વર્ધમાન	巴尔达曼
બારડોલી	巴尔多利
બારિપદા	巴里帕达
બરગઢ	巴尔加尔
કલિંગનુ યુધ્ધ	羯陵伽战争
લીંબડી	利姆布迪
બસ્તી	巴斯提縣
એશિયાના દેશોની સૂચિ	亚洲国家和地区列表
૧૦૨ (અંક)	102
વાલ્મીકિ	蚁垤
પંગારો	刺桐
લેડો રોડ	中印公路
માણસા	曼萨 (古吉拉特邦)
સંતરામપુર	桑特拉姆普尔
ભાણવડ	班瓦德
ફ્રીલેન્ડગંજ	弗雷埃兰德贡杰
વંથલી	万塔利
ગણદેવી	甘德维
વાંદરું	長尾葉猴屬
કાંગડા જિલ્લો	坎格拉縣
ટિંડોળી	红瓜
ઋગ્વેદ	梨俱吠陀
દેવરિયા જિલ્લો	迪奧里亞縣
ગુજરાતી લિપિ	古吉拉特文
હઠ યોગ	诃陀瑜伽
વેરિસાઇન	威瑞信
વીંજ	小靈貓
રાજમોહન ગાંધી	拉杰莫汉·甘地
વિશ્વ સંભાષણ અક્ષમતા જાણકારી દિન	世界提高自闭症意识日
વીજલપોર	维贾尔波尔
ચંદ્રશેખર આઝાદ	錢德拉·謝卡爾·阿扎德
યેઘીશે ચારેન્ત્સ	叶格依舍·恰连茨
હુગલી નદી	胡格利河
કેદારનાથ	凯达尔纳特
ભારતીય જ્યોતિષવિદ્યા	印度占星學
ડુંગરપુર	东格阿尔普尔
ઇન્દૌર જિલ્લો	印多爾縣
ચિકમંગલૂર જિલ્લો	奇克馬加盧爾縣
વેક્યૂમ પંપ	真空泵
કટની જિલ્લો	卡特尼縣
પુષ્કર	普斯赫卡尔
પાપલેટ માછલી	烏魴科
મમિત જિલ્લો	马米特县
કોણાર્ક સૂર્ય મંદિર	科纳克太阳神庙
કાયામ્બે (જ્વાળામુખી)	卡揚貝火山
જળ માર્જર	江獺
તાંગ્ગુલા રેલ્વે સ્ટેશન (તિબેટ)	唐古拉站
વિશ્વ સાક્ષરતા દિન	国际扫盲日
અશોક (વનસ્પતિ)	無憂樹
અત્રિ	阿低利
ભાયાવદર	巴耶瓦达尔
ભવાનીપટના	巴瓦尼帕特纳
ભદ્રક	巴德拉克
ભિલવાડા	皮爾瓦拉
હિંગણઘાટ (વર્ધા)	欣冈格阿特
પારિજાત	夜花
હાવેરી જિલ્લો	哈韋里縣
અલીગઢ જિલ્લો	阿里格爾縣
તળાજા	塔拉贾
સાહિબગંજ જિલ્લો	賽義布甘傑縣
ઊંઝા	乌恩贾
સિંધુદુર્ગ જિલ્લો	辛杜杜爾格縣
દાંતનો વિકાસ	牙齒發育
દક્ષિણ એશિયા	南亚
નૈનિતાલ	奈尼塔尔
તમિલ	泰米尔
રામનાથપુરમ	拉马纳塔普拉姆
ખેડા	凯达
ગંજામ જિલ્લો	甘賈姆縣
વિલિયમ વિલ્સન(તરણશાસ્ત્રી)	威廉·威森
કપૂરથલા	卡普尔塔拉
કંપની (કાયદો)	公司
આઝમગઢ જિલ્લો	阿桑加爾縣
અઝટેક ચિત્રલિપિ	阿茲特克文字
દરજીડો	长尾缝叶莺
ભિંડ	宾德
ભુસાવળ	布萨瓦尔
બિજનૌર	比杰诺尔
બાબર	巴卑尔
કોયલ	噪鹃
બદૌન	布道恩
બલાંગીર જિલ્લો	巴蘭基爾縣
બનાસકાંઠા જિલ્લો	巴纳斯坎塔县
વાંસવાડા જિલ્લો	班斯瓦拉縣
વર્ધમાન જિલ્લો	巴爾達曼縣
બરગઢ જિલ્લો	巴加爾縣
શિન્તો	神道
સમઘન	立方體
બીડ જિલ્લો	比德縣
બેલગામ જિલ્લો	貝爾高姆縣
કરુર	卡鲁尔
સામાજિક સાહસિકતા	公益创业
દ્વારકા	德瓦尔卡
તાલુકો	乡 (南亚)
ગંગોત્રી	根戈德里
સેન્ટ એન્ડ્રુ સ્ટેડિયમ	聖安德魯斯球場
ભારતીય રેલ	印度鐵路公司
બ્રાહ્મણ ગ્રંથો	梵书
છત્તીસગઢના મુખ્યમંત્રીઓ	恰蒂斯加尔邦首席部长列表
વેબ ઓન્ટોલોજિ ભાષા	网络本体语言
નાનો કરકરીયો	稻田苇莺
હવા મહેલ	风之宫
લાહૌલ અને સ્પીતી જિલ્લો	拉胡爾和斯皮提縣
ચાતક	斑翅凤头鹃
પુરુષનું પ્રજનનતંત્ર	男性生殖系統
એસ્કેરિયાસિસ	蛔虫病
ડાંગર	稻田
કુંતી	貢蒂
કચ્છનો અખાત	嘠奇灣
મછલીપટનમ	默蘇利珀德姆
વિકિપીડિયાની યાદી	ISO 639-3
ભારતીય તારક કાચબો	印度星龜
ચંદ્રગુપ્ત પ્રથમ	旃陀罗·笈多一世
વીઝેડ ૫૮	Vz.58突擊步槍
અશ્વગંધા (વનસ્પતિ)	睡茄
કાલ ભૈરવ	陪臚
ભજન	拜赞歌
ભરતપુર જિલ્લો	珀勒德布爾縣
ભરૂચ જિલ્લો	巴鲁奇县
ભાવનગર જિલ્લો	巴夫那加尔县
વિશ્વ જનસંખ્યા દિન	世界人口日
રુદ્ર	楼陀罗
વરૂ	伊朗狼
આંતરરાષ્ટ્રીય નૃત્ય દિવસ	世界舞蹈日
પાંડુ	般度
વીર્ય દાન	捐精
બોડેલી	博德利
બોરસદ	博尔萨德
ચલાલા (તા. ધારી)	恰拉拉
વરાહમિહિર	伐罗诃密希罗
ચાળીસગાંવ	恰利斯加奥恩
ચાણસ્મા	恰纳斯马
ચંપાવત	恰姆帕瓦特
ચંદ્રપૂર	钱德拉普尔
ચલથાણ	恰尔坦
બીલીમોરા	比利莫拉
બુંદી	本迪
ચામરાજનગર જિલ્લો	查马拉贾纳加尔县
રાજગીર	王舍城
ઘોરાડ	南亞鴇
ભારતનું પ્રવેશદ્વાર	印度门 (孟买)
નોબેલ પારિતોષિક વડે સન્માનીત મહિલાઓ	諾貝爾獎女性得主列表
કાર્ડિફ સિટી સ્ટેડિયમ	卡迪夫城運動場
ટ્વેન્ટી20	2020 (板球)
સંબલપુર	萨姆巴尔普尔
ઈટાવા	埃塔瓦
ભારતના રાષ્ટ્રપતિઓની યાદી	印度总统列表
દ્રોણ	德羅納
કાંશીરામ નગર જિલ્લો	卡斯甘傑縣
ઉજ્જૈન જિલ્લો	烏賈因縣
શૂદ્ર	首陀罗
દહનશીલતા	可燃性
તુમકુર	杜姆古尔
ખનીજ તેલનું ઉત્પાદન કરતા દેશોની યાદી	各国石油产量列表
દક્ષિણ અમેરિકાના દેશોની યાદી	南美洲国家和地区列表
હૈલાકાંડી	海拉卡恩迪
મદદ:સૂચિ	Help:目录
ટોંક જિલ્લો	湯克縣
રાયચૂર	賴久爾 (城市)
વેદાંગ	吠陀支
લક્ષ્મણ	羅什曼那
લોહરદગ્ગા	洛哈尔达加
કનરા બુલબુલ	白頰鵯
સીતાપુર	西塔普尔
બિન-નિવાસી ભારતીય અને ભારતીય મૂળની વ્યક્તિ	海外印度人
લઘુ ધિરાણ	微型金融
અરડૂસી	鸭嘴花
ધ્રોલ	德罗尔
હોશિયારપુર	霍斯希亚尔普尔
એલેપ્પી જિલ્લો	阿拉普扎縣
ગુના જિલ્લો	古納縣
વિશ્વ રક્તદાન દિવસ	世界献血者日
રોકડીયો પાક	经济作物
નાગલી	穇子
પદ્મભૂષણ	莲花装勋章
શિંગોડા (ફળ)	荸荠
વિષ્ણુપુર જિલ્લો	比希努普縣
ઉન્નાવ	乌纳奥
સિરોહી	西罗希
લોટસ ટેમ્પલ, દિલ્હી	莲花寺 (德里)
ખાખરો	紫矿
થાણા જિલ્લો	塔納縣
ભારતીય રિઝર્વ બેંક	印度储备银行
સિલચર	西尔恰尔
સવાઇ માધોપુર	萨瓦伊马多普尔
ભારતીય વિજ્ઞાન સંસ્થા	印度科學理工學院
પર્યાવરણીય શિક્ષણ	環境教育
પદ્મશ્રી	莲花士勋章
લાખ	拉克
પાલનપુર	帕拉恩普尔
ગોરડ	阿拉伯胶树
કોહિમા જિલ્લો	科希馬縣
મિર્જાપુર	密札浦
કોપ્પલ જિલ્લો	卡巴爾縣
ફોર્બ્સ	福布斯
ઈડલી	蒸米漿糕
હસન જિલ્લો	哈桑县 (印度)
મલપ્પુરમ	马拉普兰
મારુતિ સુઝુકી	馬魯蒂鈴木公司
રોહતક જિલ્લો	羅塔克縣
મુગલસરાય	穆加尔萨赖
ગૂડિસન પાર્ક	葛迪遜公園球場
જેતપુર	杰特普尔纳瓦加德
જગતસિંહપુર જિલ્લો	賈加青加普縣
એચ-1બી વિઝા	H-1B签证 (美国)
છાંયા (તા. પોરબંદર)	奇哈耶
કુરુક્ષેત્ર જિલ્લો	庫盧謝特拉縣
વર્ધા જિલ્લો	瓦爾達縣
ફઇ ઝીઓ-તોગ	费孝通
યુધિષ્ઠિર	堅戰
ગોરખનાથ	郭拉洽
છિન્દવાડા	钦德瓦拉
કોટા જિલ્લો	科塔縣
રાયબરેલી	拉埃巴雷利
રીવા	雷瓦
ટોંક	通克
વરૂણ	伐楼拿
એલુર	埃盧魯
પલક્કડ	帕拉克卡德
હુગલી ચુચુરા	胡格利-钦苏拉
મેદિનીપુર	梅迪尼普尔
તવાંગ	达旺镇
માંડ્યા	曼迪亚
ઝુનઝુનુન	均均乌恩
સાગર	薩格爾
જગદાલપુર	贾格达尔普尔
કૃષ્ણાગિરિ	克里斯赫纳吉里
વઢવાણ	瓦德万
હજારીબાગ	哈扎里巴格
ઉખરુલ (મણિપુર)	乌克鲁尔
શિવગંગાઇ	西瓦冈格阿
સુવર્ણપુર	索纳普尔
હાવેરી	哈韦里
હાફલોન્ગ	哈夫隆格
પ્રતાપગઢ	普拉塔普加尔城
ચક દે ઇન્ડિયા	加油印度！
મલપ્પુરમ જિલ્લો	马拉普兰县
હેલ બેરી	荷莉·貝瑞
અબાબીલ લટોરો	灰燕鵙
કરમદાં	刺黄果
વિશ્વ બૌદ્ધિક સંપદા દિન	世界知识产权日
દ્રૌપદી	黑公主
દરિયાઈ પ્રદૂષણ	海洋污染
ચંબા જિલ્લો	昌巴縣
ચંબલ નદી	昌巴爾河
બલરામ	大力罗摩
કચ્છ જિલ્લો	喀奇县
આંતરરાષ્ટ્રીય યુવાદિન	国际青年日
સેલહર્સ્ટ પાર્ક	塞尔赫斯特公园球场
સૌરાષ્ટ્ર	索拉什特拉
કયામત	伊斯蘭教末世論
ચીપકો આંદોલન	抱树运动
કંસારો (પક્ષી)	赤胸拟啄木鸟
ચિત્તોડગઢ જિલ્લો	奇陶加爾縣
વાલ	扁豆
તીર્થંકર	蒂爾丹嘉拉
કાળા માથાનો કશ્યો	黑头鹃鵙
નવગ્રહ	九曜
અગન ચંડુલ	歌百灵
ચુરુ જિલ્લો	楚盧縣
ભારતનો સ્વાતંત્ર્ય સંગ્રામ	印度独立运动
ઓમકારેશ્વર	奥姆卡雷斯赫瓦尔
હરીયલ	黄脚绿鸠
ચિખલદારા	奇卡尔达拉
લીડ્ઝ યુનાઈટેડ ફૂટબૉલ ક્લબ	列斯聯足球會
લિવરપૂલ ફૂટબોલ ક્લબ	利物浦足球俱乐部
જયપુર જિલ્લો	齋浦爾縣
ડાંગ જિલ્લો	当斯县
ઈન્સીડ	英士國際商學院
કરોડ	克若尔
ક્રિકેટનો બૉલ	赛球 (板球)
કોઝીક્કોડ જિલ્લો	科澤科德縣
મિર્જાપુર જિલ્લો	米爾扎布爾縣
પંચાયતી રાજ	潘查亚特制度
ગોરખપુર જિલ્લો	戈勒克布爾縣
આંતરરાષ્ટ્રીય પરીચારિકા દિવસ	国际护士节
સાતપુડા પર્વતમાળા	薩特布拉山脈
ગોળ	石蜜
ડભોઇ	达博伊
વાઇસ સિટી	罪惡城市
દામોહ	达莫
દતિયા	达蒂亚
ડાકોર	达科尔
ચિત્રકૂટ ધામ	奇特拉科奥特
ચુરુ	丘鲁
ચોપડા	乔普达
ડીસા	德埃萨
દેવગઢ	德巴加尔
વિશ્વની સાત મોટી ભૂલો	世界的七大错
સિગ પ્રો	SIG Pro手槍
પંજાબ (સંદિગ્ધ)	旁遮普 (消歧义)
આહાર સુરક્ષા	粮食安全
મીન રાશી	雙魚宮
પંચશીલના સિદ્ધાંતો	和平共处五项原则
દેવસર	德沃萨尔
સિંધી લોકો	信德族
ધોરાજી	多拉吉
ધંધુકા	达恩杜卡
વન કાબર	叢林八哥
ધોળકા	多尔卡
દેવગઢબારિયા	德沃加德巴里亚
ડોડા	多达
ધોલપુર	道尔普尔
ધરણગાંવ	达朗格阿奥恩
મરાઠી લોકો	馬拉地人
ડુંગરપુર જિલ્લો	頓加爾布爾縣
દેવાસ	德瓦斯
સંબલપુર જિલ્લો	桑巴普爾縣
દૂધી	葫芦
શિવસાગર	西布萨加尔
કમ્પ્યુટર નેટવર્ક	计算机网络
તુમકુર જિલ્લો	杜姆古爾縣
આકાશવાણી	全印广播电台
સમય માપવાનાં સાધનોનો ઇતિહાસ	計時工具的歷史
વારાણસી જિલ્લો	瓦拉納西縣
રાયબરેલી જિલ્લો	雷巴雷利縣
ત્રિપિટક	三藏
ઉદયપુર જિલ્લો	烏代布爾縣
અંડ કોષ	卵细胞
ડિજિટલ માર્કેટિંગ	數位行銷
વિલુપ્પુરમ	维卢普拉姆
માણાવદર	马纳瓦达尔
કાજળ	眼影 (中東)
સંન્યાસ	棄絕期
મુરાદાબાદ જિલ્લો	莫拉達巴德縣
જલપાઈગુડી જિલ્લો	傑爾拜古里縣
આચાર્ય	阿闍黎
કોટ્ટયમ જિલ્લો	果塔延縣
જૌનપુર જિલ્લો	章普爾縣
ઇન્સાસ	英薩斯突擊步槍
એર્નાકુલમ જિલ્લો	埃爾訥古勒姆縣
હનુમાનગઢ જિલ્લો	哈努芒加爾縣
કોલ્લમ જિલ્લો	果拉姆縣
મહારાજગંજ જિલ્લો	馬哈拉吉甘傑縣
સુલ્તાનપુર જિલ્લો	蘇丹普爾縣
તેહરી ગઢવાલ જિલ્લો	特里加瓦爾縣
માંકેવી વયંસેવ	杨诗曼
વયનાડ જિલ્લો	瓦亞納德縣
એલચો	香豆蔻
યુ.કે. પોસ્ટકોડ્સ	英國郵區編號
ભારતીય ઓલિમ્પિક સંઘ	印度奧林匹克協會
ભીષ્મ	毗濕摩
દુર્યોધન	難敵
શ્રેણી:ચીન	Category:中国
મધર ઇન્ડિયા	印度母親
શ્રેણી:જાપાન	Category:日本
શ્રેણી:ઓસ્ટ્રેલિયા	Category:澳大利亚
શ્રેણી:ભારત	Category:印度
રેડક્લિફ રેખા	雷德克里夫線
કરૌલી જિલ્લો	卡勞利縣
ગંગાનગર જિલ્લો	斯里甘加納加縣
કાસરગોડ જિલ્લો	卡薩拉果德縣
જેસલમેર જિલ્લો	傑伊爾梅爾縣
સિકર જિલ્લો	錫格爾縣
અલકનંદા નદી	阿勒格嫩達河
સાંગલી જિલ્લો	桑利縣
લોન્ગલેન્ગ જિલ્લો	隆格倫格縣
વૈશ્વિક ઉષ્ણતાની અસરો	全球变暖的效应
રાયચૂર જિલ્લો	赖久尔县
ઝીંગા ઉછેર	海蝦養殖
જોધપુર જિલ્લો	焦特布爾縣
રામેશ્વરમ	拉梅斯瓦拉姆
ક્ષત્રિય	刹帝利
રાષ્ટ્રીય ધોરી માર્ગ નં. ૮	國道8號 (印度)
રોહતક	罗赫塔克
મુજફ્ફરપુર	穆扎夫法尔普尔
શ્રેણી:નેધરલેંડ	Category:荷兰
શ્રેણી:પાકિસ્તાન	Category:巴基斯坦
શ્રેણી:પક્ષી	Category:鸟类
શ્રેણી:વનસ્પતિ	Category:植物
શ્રેણી:ભૌતિકવિજ્ઞાન	Category:物理学
શ્રેણી:જીવવિજ્ઞાન	Category:生物学
શ્રેણી:રસાયણવિજ્ઞાન	Category:化学
શ્રેણી:ભૂગોળ	Category:地理
શ્રેણી:વિજ્ઞાન	Category:科学
આપત્તિ સજ્જતા	災害管理
જળ શુદ્ધિકરણ	水淨化
ઝાલાવાડ જિલ્લો	賈拉瓦爾縣
ઝુનઝુનુન જિલ્લો	金基農縣
સોનપુર જિલ્લો	索那普爾縣
પ્રતાપગઢ જિલ્લો	普拉塔加爾縣
સ્ટર્લિંગ સબ મશીનગન	史特林衝鋒槍
હાવડા જિલ્લો	豪拉縣
બિલાસપુર જિલ્લો, હિમાચલ પ્રદેશ	比拉斯普尔县
અસહકારની ચળવળ	不合作運動
ભોંયરીંગણી	黄果茄
ઉડ્ડપી જિલ્લો	烏杜皮縣
શ્રીનગર જિલ્લો	斯利那加县
સવાઇ માધોપુર જિલ્લો	薩外馬多布爾縣
કશ્યપ	迦叶波
મઊ જિલ્લો	毛縣
ઇંગ્લીશ બાઝાર	埃恩格利斯赫巴扎尔
ગડચિરોલી	加德奇罗利
ગઢડા	加达达
પલક્કડ જિલ્લો	伯拉卡德縣
ગોંડલ	戈恩达尔
પેશી ઇજનેરી	组织工程学
મુર્શિદાબાદ જિલ્લો	穆希達巴德縣
કરિયાતું (વનસ્પતિ)	穿心莲
કોડાગુ જિલ્લો	果達古縣
જ્ઞાનપુર	格延普尔
૨૦૧૨ દિલ્હી બળાત્કાર ઘટના	印度黑公交轮奸案
પ્રતાપગઢ જિલ્લો, રાજસ્થાન	普拉塔普加爾縣
રામચકલી-પીળી ચોટલી	黄颊山雀
નાચણ	白喉扇尾鶲
પીરોજી માખીમાર	铜蓝鹟
હિસ્ટરી (ટીવી ચેનલ)	歷史頻道
નંદરબાર જિલ્લો	南杜爾巴縣
વિદિશા	维迪斯哈
ઉસ્માનાબાદ જિલ્લો	奧斯馬納巴德縣
ખંડવા	坎德瓦
કારગિલ જિલ્લો	卡基尔县
ગઢવા	加尔赫瓦
મુખ્ય મંત્રી	首席部長
હળવદ	哈尔瓦德
હાલોલ તાલુકો	哈洛尔
ગેયઝીન્ગ	吉亚尔斯兴格
હરદા	哈尔达
હનુમાનગઢ	哈努芒格阿尔
ગોધરા	戈德拉
હરદૌઈ	哈尔多伊
હિંમતનગર	希马特纳加尔
ગોલાઘાટ	戈拉加特
હિંગોલી	兴格奥利
હારીજ	哈里杰
હજીરા	哈吉拉
રોબર્ટસગંજ	罗贝尔特斯甘杰
હાથરસ	哈特拉斯
જસદણ	贾斯丹
ઢાંચો:Dts	Template:Dts
કરીમગંજ	卡里姆加恩杰
ખંભાત	坎贝
૨૦૦૨ ગુજરાત હિંસા	2002年古吉拉特骚乱
બુલન્દ શહેર જિલ્લો	布兰德沙哈尔县
એટિયોલેશન	黃化現象
લખિમપુર ખેરી જિલ્લો	拉基姆普爾凱里縣
ખેડા જિલ્લો	科达县
ઇડર	伊达尔
ઇગતપુરી	伊加特普里
દૂરદર્શન	全印电视台
મેરઠ જિલ્લો	密拉特县
માદ્રી	玛德利
રત્નાગિરી જિલ્લો	勒德納吉里縣
અમરાવતી જિલ્લો	阿姆勞蒂縣
અનુગુલ જિલ્લો	阿努古爾縣
પોરબંદર જિલ્લો	博尔本达尔县
વર્ધા	沃尔塔
હરદોઇ જિલ્લો	哈爾多伊縣
હિસાર	希萨尔
